Area_Year,"1_Live births_Total, Canada and place of residence of mother outside Canada 10 11","1_Live births_Canada, place of residence of mother 10",1_Live births_Place of residence of mother outside Canada 11,"2_Number of students in elementary and secondary schools_Total, school type Total, program type","2_Number of students in elementary and secondary schools_Public school Total, program type","2_Number of students in elementary and secondary schools_Priviate school Total, program type","2_Number of students in elementary and secondary schools_Home-schooling Total, program type",3_Number of full-time and part-time educators,4_Canada_gdp_yearly_Final consumption expenditure,4_Canada_gdp_yearly_Household final consumption expenditure,4_Canada_gdp_yearly_Goods,4_Canada_gdp_yearly_Durable goods,4_Canada_gdp_yearly_Semi-durable goods,4_Canada_gdp_yearly_Non-durable goods,4_Canada_gdp_yearly_Services,4_Canada_gdp_yearly_Non-profit institutions serving households final consumption expenditure,4_Canada_gdp_yearly_General governments final consumption expenditure,4_Canada_gdp_yearly_Gross fixed capital formation,4_Canada_gdp_yearly_Business gross fixed capital formation,4_Canada_gdp_yearly_Residential structures,"4_Canada_gdp_yearly_Non-residential structures, machinery and equipment",4_Canada_gdp_yearly_Non-residential structures,4_Canada_gdp_yearly_Machinery and equipment,4_Canada_gdp_yearly_Intellectual property products,4_Canada_gdp_yearly_Non-profit institutions serving households gross fixed capital formation,4_Canada_gdp_yearly_General governments gross fixed capital formation,4_Canada_gdp_yearly_Investment in inventories,4_Canada_gdp_yearly_Of which: business investment in inventories,4_Canada_gdp_yearly_Non-farm,4_Canada_gdp_yearly_Farm,4_Canada_gdp_yearly_Exports of goods and services,4_Canada_gdp_yearly_Exports to other countries,4_Canada_gdp_yearly_Exports of goods to other countries,4_Canada_gdp_yearly_Exports of services to other countries,4_Canada_gdp_yearly_Exports to other provinces,4_Canada_gdp_yearly_Exports of goods to other provinces,4_Canada_gdp_yearly_Exports of services to other provinces,4_Canada_gdp_yearly_Less: imports of goods and services,4_Canada_gdp_yearly_Imports from other countries,4_Canada_gdp_yearly_Imports of goods from other countries,4_Canada_gdp_yearly_Imports of services from other countries,4_Canada_gdp_yearly_Imports from other provinces,4_Canada_gdp_yearly_Imports of goods from other provinces,4_Canada_gdp_yearly_Imports of services from other provinces,4_Canada_gdp_yearly_Statistical discrepancy,4_Canada_gdp_yearly_Gross domestic product at market prices,4_Canada_gdp_yearly_Final domestic demand,6_Estimates of population,7_Dependency ratio,9_Postsecondary enrolments
Alberta_2001,"37,749","37,721",28,"549,633","549,633",,,,"113,401","79,482","35,034","8,844","5,002","21,967","44,520","2,117","32,149","61,262","55,036","12,322","34,285","26,541","9,086","8,598",201,"5,971","-1,922","-1,882","-1,319",-526,"123,995","80,748","74,993","5,810","43,056","25,282","17,122","78,411","36,998","31,820","5,195","41,993","19,845","21,985",-121,"222,271","175,656","3,058,108",61.6,"143,340"
Alberta_2002,"38,751","38,729",22,"548,124","548,121",,,"34,761","118,171","82,922","36,859","9,589","5,296","22,650","46,093","2,363","33,240","60,689","54,140","14,530","33,415","24,794","9,329","6,920",240,"6,265","-2,524","-2,470","-1,180","-1,561","125,135","80,080","73,688","6,345","44,849","26,238","17,931","78,775","37,210","31,921","5,313","42,134","19,703","22,297",-81,"227,363","180,089","3,128,429",60.7,"149,145"
Alberta_2003,"40,340","40,320",20,"554,397","554,397",,,"37,350","121,996","85,675","37,884","9,969","5,552","22,964","47,851","2,209","34,450","64,836","58,865","13,975","38,003","27,277","11,046","7,209",215,"5,675","1,640","1,604",422,"1,723","126,128","78,213","71,787","6,355","47,675","29,042","17,843","84,360","40,352","34,568","5,812","44,484","21,361","22,910",412,"235,234","187,935","3,183,065",59.9,"158,568"
Alberta_2004,"40,747","40,722",25,"552,594","552,591",,,"39,390","127,383","90,352","40,054","10,658","5,946","24,016","50,346","2,103","35,132","71,406","65,131","14,618","42,867","30,798","12,444","7,835",128,"6,071",669,656,72,962,"134,562","86,128","79,412","6,657","48,173","28,029","19,571","90,432","44,284","38,124","6,184","46,472","21,730","24,595",399,"248,322","199,624","3,238,668",59.2,"160,107"
Alberta_2005,"42,054","42,036",18,"550,983","550,983",,,"40,293","135,755","97,393","43,206","12,196","6,558","24,801","54,234","2,329","36,098","87,007","79,476","16,518","53,068","37,527","15,758","9,903",321,"7,076","2,961","2,898","2,038",777,"134,045","86,751","80,317","6,359","47,005","26,245","20,521","102,250","52,271","45,479","6,809","50,060","22,681","27,320",76,"259,282","222,857","3,321,768",58.4,"172,563"
Alberta_2006,"45,096","45,088",8,"551,742","551,739",,,"40,557","145,800","106,167","47,713","14,234","7,395","26,227","58,426","2,282","37,246","95,815","86,956","17,200","59,775","40,534","18,911","9,882",352,"8,398","1,835","1,799","1,823",-531,"143,920","92,967","86,055","6,835","50,651","27,692","22,909","113,553","59,887","52,414","7,489","53,589","24,143","29,402",449,"275,756","241,597","3,421,434",57.5,"175,167"
Alberta_2007,"48,845","48,832",13,"599,316","560,562","28,767","9,984","40,542","155,026","113,253","51,049","15,689","8,127","27,239","62,158","2,341","39,283","97,835","87,671","17,321","61,862","42,475","19,172","8,390",279,"9,856","-1,393","-1,369",-788,-655,"147,734","93,804","87,066","6,640","53,639","31,269","21,788","119,961","63,544","56,035","7,532","56,316","27,089","28,993",-299,"280,600","252,928","3,514,147",56.4,"175,491"
Alberta_2008,"50,563","50,557",6,"598,386","559,116","29,520","9,747","42,516","160,594","116,219","52,051","15,828","8,476","27,740","64,142","2,495","41,827","99,417","88,126","15,418","65,441","46,429","19,039","7,423",391,"10,892",-796,-746,"-1,086",595,"145,123","93,973","87,287","6,577","50,740","27,878","22,772","120,072","64,678","56,922","7,777","55,232","25,243","29,911",-108,"285,125","260,091","3,595,856",55.7,"174,543"
Alberta_2009,"51,508","51,494",14,"602,031","564,051","27,867","10,113","45,627","160,352","114,744","50,127","14,029","8,210","27,957","64,621","2,409","43,223","73,829","62,507","13,416","43,630","27,866","15,261","5,431",324,"11,047","-2,097","-1,346",-670,-779,"143,880","84,236","77,489","6,712","59,529","31,692","27,840","107,920","54,641","47,050","7,603","53,415","23,963","29,417",-210,"269,322","234,339","3,678,996",55.1,"176,700"
Alberta_2010,"50,633","50,622",11,"605,355","567,813","27,690","9,855","44,781","166,158","119,496","51,896","14,716","8,694","28,519","67,606","2,375","44,295","90,987","78,178","15,941","55,368","39,553","15,775","6,845",441,"12,401",322,285,-111,511,"147,441","88,163","82,186","5,987","59,224","31,490","27,739","122,224","64,939","55,335","9,605","57,288","25,093","32,181",-343,"282,702","257,217","3,732,082",55.1,"184,575"
Alberta_2011,"50,845","50,834",11,"610,896","573,102","27,831","9,966","44,643","172,803","124,331","54,150","15,677","9,347","29,132","70,186","2,527","45,951","100,906","88,452","15,239","65,347","47,393","17,949","7,865",435,"12,026","1,362","1,357","1,211",101,"158,195","98,001","92,027","5,973","60,195","32,120","28,074","132,305","69,451","59,055","10,395","62,856","27,343","35,502",-305,"300,948","273,737","3,789,030",55.3,"188,268"
Alberta_2012,"52,452","52,441",11,"607,722","574,911","22,425","10,386","44,211","178,826","129,511","57,001","16,960","10,116","29,925","72,510","2,640","46,675","112,250","99,697","17,179","73,706","53,823","19,883","8,812",480,"12,073",577,504,609,-105,"164,149","102,896","96,585","6,310","61,253","32,598","28,656","142,790","78,388","66,764","11,624","64,402","26,908","37,494",-304,"312,708","291,076","3,874,548",55.6,"189,090"
Alberta_2013,"53,184","53,172",12,"626,343","591,399","24,159","10,785","44,391","185,565","135,916","60,153","18,421","10,562","31,172","75,767","2,709","46,942","124,703","112,904","19,017","85,186","63,734","21,432","8,691",459,"11,343","2,048","2,078",757,"1,281","173,928","108,910","102,108","6,803","65,017","36,137","28,841","156,033","83,542","70,042","13,487","72,498","29,939","42,561",-94,"330,548","310,267","3,981,011",55.9,"191,619"
Alberta_2014,"55,591","55,568",23,"645,012","608,169","25,707","11,136","45,123","191,420","141,034","62,838","19,551","10,945","32,348","78,211","2,675","47,723","130,401","119,421","20,728","90,006","67,683","22,294","8,662",589,"10,396",852,851,"1,015",-108,"186,783","119,479","111,894","7,592","67,299","34,599","32,953","159,938","84,556","70,380","14,158","75,427","28,458","47,104",-63,"350,033","321,825","4,083,648",56,"186,600"
Alberta_2015,"56,749","56,734",15,"664,296","625,683","27,129","11,484","46,662","193,254","141,740","61,557","18,250","10,826","32,478","80,126","2,804","48,708","104,527","92,636","20,637","66,040","49,458","16,558","5,926",527,"11,372","-1,815","-1,847","-2,065",88,"184,814","121,711","113,929","7,782","63,467","33,746","29,901","143,811","76,424","63,255","13,164","67,395","24,857","42,694",-156,"337,069","297,615","4,144,491",56.9,"184,026"
Alberta_2016,"55,715","55,674",41,"678,966","640,872","26,775","11,322","47,289","194,981","141,241","60,325","17,386","10,645","32,301","80,803","2,952","50,741","84,618","72,513","17,555","50,267","37,866","12,395","4,680",310,"11,818","-1,080","-1,049","-1,358",224,"184,137","119,411","111,536","7,804","64,699","35,467","29,499","136,565","71,485","58,252","13,264","65,196","23,450","41,909",275,"325,421","279,292","4,196,061",58,"185,679"
Alberta_2017,"53,561","53,513",48,"692,538","652,272","27,537","12,732",,"200,620","145,319","62,820","18,730","10,803","33,276","82,418","2,960","52,294","85,214","73,155","17,928","49,794","37,379","12,401","5,404",320,"11,761","2,006","2,020","1,718",330,"194,464","126,527","118,565","7,999","67,986","37,677","30,623","140,741","74,864","61,731","13,160","65,874","22,306","43,749",-228,"340,062","285,508","4,241,100",59.1,"190,947"
Alberta_2018,"52,342","52,325",17,"707,391","665,877","28,488","13,023",,"205,167","147,923","63,579","18,777","10,952","33,839","84,249","3,066","54,117","84,302","73,549","17,608","50,181","35,940","14,130","5,719",309,"10,467",544,511,582,-58,"207,617","135,457","127,304","8,280","72,267","41,497","31,186","147,318","78,728","64,303","14,437","68,547","23,801","44,920",79,"347,593","289,117","4,298,275",60,"194,010"
Alberta_2019,"51,689","51,657",32,"717,750","673,788","30,270","13,689",,"205,538","148,463","63,137","18,203","11,037","33,888","85,208","3,241","53,772","78,543","68,779","15,931","47,139","33,187","13,811","5,650",242,"9,546","2,130","2,133","2,230",-79,"209,703","139,702","130,171","9,411","70,476","39,360","31,466","144,968","76,647","61,544","15,074","68,382","23,181","45,394",-88,"348,005","283,682","4,362,576",61,"200,391"
Alberta_2020,"48,970","48,908",62,"729,510","683,280","31,503","14,730",,"195,800","138,969","61,615","17,076","9,876","34,605","77,323","3,071","53,625","67,834","57,372","15,426","36,980","25,629","11,205","4,983",230,"10,260","-3,787","-3,781","-3,690",-137,"198,641","133,890","127,669","7,057","65,470","38,517","27,545","134,000","67,731","55,931","11,875","66,768","24,405","42,522",-6,"320,302","263,217","4,420,029",61.9,"203,823"
Alberta_2021,"49,844","49,779",65,"720,681","664,908","30,465","25,305",,"203,156","145,215","64,143","18,354","11,570","34,273","81,039","3,136","54,700","71,887","62,044","18,741","38,640","27,538","10,988","4,697",251,"9,602","-2,127","-2,239",-468,"-1,709","206,019","138,743","131,433","7,915","67,972","38,409","30,068","139,342","72,070","59,773","12,394","67,605","23,548","44,290",-88,"335,550","274,634","4,442,879",62.9,"203,523"
British Columbia_1991,"45,758","45,585",173,,,,,,"103,964","72,471","31,193","6,395","4,191","21,687","41,225","1,216","31,073","27,259","22,520","11,010","10,147","7,890","3,191","1,231",140,"4,626",-412,-408,-415,25,"43,018","28,551","22,189","5,649","14,168","4,164","10,201","47,386","20,299","15,893","4,607","28,520","15,839","12,854",-353,"126,535","131,680",,,
British Columbia_1992,"46,229","46,098",131,,,,,,"107,469","74,713","32,005","6,574","4,337","22,174","42,676","1,397","32,140","28,244","23,455","13,535","9,067","6,166","3,185","1,229",161,"4,638",-406,-406,-411,18,"45,157","28,645","22,089","5,873","16,268","5,405","11,021","49,588","22,244","17,752","4,615","28,498","15,346","13,256","-1,348","130,049","136,186",,,
British Columbia_1993,"46,141","46,007",134,,,,,,"110,549","77,151","33,350","6,773","4,558","23,162","43,730","1,518","32,588","28,462","23,560","13,875","8,591","5,649","3,091","1,603",184,"4,728",317,315,285,45,"46,950","30,141","22,911","6,599","16,509","5,295","11,403","49,290","23,269","18,605","4,783","26,703","13,791","12,946","-1,872","136,155","139,480",,,"144,663"
British Columbia_1994,"46,960","46,881",79,,,,,,"114,024","80,289","35,037","7,307","4,856","23,929","45,140","1,486","32,870","31,456","25,912","13,955","10,044","6,879","3,510","2,315",155,"5,438",707,707,660,62,"50,039","33,271","25,031","7,638","16,199","5,492","10,837","57,258","26,914","21,714","5,284","31,187","17,567","13,789",-16,"139,733","146,042",,,"145,371"
British Columbia_1995,"46,889","46,768",121,,,,,,"116,111","82,775","36,214","7,588","5,093","24,562","46,437","1,499","32,306","29,815","24,600","12,270","10,582","7,541","3,587","1,825",187,"5,053",602,600,570,35,"53,082","36,338","27,011","8,819","15,852","5,256","10,749","57,974","27,006","21,736","5,369","31,938","17,623","14,469",755,"143,402","146,436",,,"147,195"
British Columbia_1996,"46,221","46,095",126,,,,,,"120,169","85,806","36,716","7,716","5,122","24,931","49,043","1,812","32,946","29,834","24,294","12,459","10,164","6,661","3,675","1,841",173,"5,434",198,200,205,-17,"53,351","35,915","27,061","8,186","16,700","6,149","10,576","57,506","27,468","22,015","5,580","30,703","16,152","14,674",90,"147,052","150,523",,,"150,033"
British Columbia_1997,"44,634","44,545",89,,,,,,"123,991","89,016","38,290","8,449","5,316","25,408","50,657","2,382","32,876","32,310","27,333","13,071","12,230","8,876","4,066","1,946",221,"4,729",903,903,909,-43,"55,463","37,039","27,536","8,970","17,723","6,484","11,274","61,586","30,296","24,726","5,612","31,645","16,383","15,381",-124,"151,968","156,828",,,"154,824"
British Columbia_1998,"43,067","43,014",53,"631,446","631,446",,,,"125,726","90,175","38,636","8,286","5,397","25,959","51,482","2,464","33,385","30,104","25,452","11,314","11,521","6,781","4,496","2,408",126,"4,532",256,257,209,81,"56,944","37,832","27,496","10,036","18,430","6,711","11,760","60,891","30,265","24,904","5,365","30,843","14,359","16,497",569,"153,811","156,401",,,"161,229"
British Columbia_1999,"41,977","41,906",71,"629,547","629,544",,,,"128,421","92,443","39,768","8,763","5,511","26,426","52,606","2,611","33,624","30,541","25,097","10,499","12,054","7,527","4,517","2,077",146,"5,332","1,033","1,033","1,025",-18,"61,911","41,159","30,534","10,078","20,004","7,745","12,229","64,595","32,196","26,554","5,639","32,593","15,005","17,590",201,"159,162","159,552",,,"163,533"
British Columbia_2000,"40,664","40,598",66,"628,269","628,269",,,,"132,591","95,344","41,171","9,472","5,680","26,797","54,090","2,628","34,897","31,611","26,065","10,563","12,463","7,289","4,897","2,513",170,"5,403","2,132","2,129","2,143",-73,"67,308","44,273","32,625","11,150","22,326","9,409","12,743","69,598","34,710","28,938","5,733","35,093","15,744","19,343",48,"166,405","164,808",,,"160,305"
British Columbia_2001,"40,546","40,498",48,"624,618","624,618",,,,"135,724","97,251","42,168","9,975","6,012","26,767","54,984","2,760","36,032","34,014","28,386","11,629","13,121","8,404","4,811","3,164",186,"5,458",-399,-399,-475,128,"66,794","42,375","30,784","11,315","24,124","10,677","13,153","69,764","33,514","27,595","5,920","36,940","17,116","19,803",-19,"167,541","170,262","4,076,950",61,"204,180"
British Columbia_2002,"40,120","40,054",66,"622,827","622,830",,,"37,149","140,099","100,887","44,197","10,859","6,300","27,486","56,551","2,934","36,560","34,333","28,868","13,554","12,552","7,875","4,681","2,704",246,"5,212",572,576,588,-32,"67,270","43,261","31,291","11,739","23,591","10,633","12,636","69,848","33,973","28,128","5,837","36,401","16,704","19,679",132,"174,214","175,025","4,100,564",60.4,"222,873"
British Columbia_2003,"40,490","40,411",79,"613,227","613,227",,,"36,564","143,766","104,235","45,181","11,263","6,519","27,768","58,949","3,040","36,720","36,613","30,948","14,601","13,100","8,599","4,693","3,238",218,"5,443",671,669,628,52,"69,226","43,996","31,808","11,955","24,859","11,354","13,141","73,588","35,938","29,404","6,537","38,153","18,213","19,907",109,"178,240","180,892","4,124,482",59.8,"224,991"
British Columbia_2004,"40,542","40,479",63,"605,538","605,535",,,"36,330","148,130","108,952","47,110","12,092","6,808","28,480","61,740","2,771","36,511","41,740","35,317","17,112","14,586","9,487","5,274","3,697",137,"6,299",741,743,741,-29,"72,828","46,322","33,464","12,619","26,112","11,635","14,157","79,354","39,297","32,204","7,097","40,472","19,200","21,240",5,"185,250","190,151","4,155,651",59.3,"229,104"
British Columbia_2005,"40,853","40,798",55,"596,166","596,169",,,"36,888","153,275","113,429","48,128","12,406","7,078","28,872","65,263","2,949","36,946","46,489","38,637","18,352","16,368","9,974","6,342","3,941",356,"7,517","1,311","1,312","1,308",-48,"76,457","48,449","34,976","13,231","27,611","11,872","15,509","84,079","42,789","35,264","7,527","41,514","19,017","22,493",-155,"194,460","199,896","4,196,062",58.9,"232,230"
British Columbia_2006,"41,783","41,738",45,"589,380","589,380",,,"37,149","160,695","120,181","51,004","13,643","7,680","29,762","69,136","3,097","37,399","51,255","43,107","19,671","19,193","11,813","7,355","4,181",366,"7,778","1,419","1,421","1,433",-68,"79,417","49,220","35,331","13,699","29,892","12,531","17,193","90,710","47,081","38,771","8,312","43,750","19,846","23,913",-84,"203,053","212,006","4,241,794",58.7,"236,508"
British Columbia_2007,"43,698","43,644",54,"645,033","578,628","65,370","1,038","37,119","169,126","126,699","53,705","14,750","8,269","30,653","72,954","3,009","39,404","52,756","44,436","20,099","19,440","11,191","8,044","4,863",234,"8,093","1,349","1,348","1,347",-29,"81,168","48,877","34,914","13,816","32,113","13,725","18,152","95,697","50,363","41,706","8,661","45,392","21,621","23,742",-299,"209,419","221,950","4,290,984",58.4,"242,394"
British Columbia_2008,"44,373","44,314",59,"637,557","571,269","65,475",813,"36,921","174,156","129,782","54,181","14,498","8,450","31,240","75,590","3,400","40,961","54,232","45,183","19,096","20,991","12,832","8,067","5,102",504,"8,551",84,76,174,-136,"78,546","46,555","33,552","12,798","31,875","13,221","18,498","96,459","51,878","42,912","8,969","44,556","20,379","24,176",-213,"210,903","228,456","4,349,336",58,"244,416"
British Columbia_2009,"45,121","45,054",67,"631,644","565,875","65,076",693,"36,372","174,870","130,162","52,955","13,752","8,225","31,031","77,211","3,246","41,455","47,954","39,098","17,460","17,469","11,376","6,129","4,188",317,"8,571",-953,-952,-985,58,"73,286","41,295","28,058","13,335","32,015","12,388","19,595","89,411","45,582","36,767","8,812","44,022","19,427","24,609",-131,"205,878","222,820","4,410,506",57.8,"244,785"
British Columbia_2010,"43,879","43,819",60,"628,020","562,740","64,728",552,"35,958","180,074","135,142","54,461","14,393","8,667","31,413","80,682","3,173","41,761","50,956","41,533","17,494","19,425","12,170","7,237","4,611",240,"9,222",-946,-942,-863,-92,"79,025","46,032","31,700","14,396","32,977","12,157","20,828","97,377","52,037","42,271","9,767","45,381","18,984","26,398",-137,"211,749","231,029","4,465,546",57.7,"261,339"
British Columbia_2011,"44,205","44,146",59,"651,609","579,111","70,272","2,226","36,108","183,960","137,998","55,119","14,564","9,062","31,495","82,879","3,351","42,612","51,459","43,876","17,987","21,237","13,734","7,500","4,657",247,"7,334",742,719,564,171,"82,874","47,491","33,180","14,326","35,389","13,116","22,278","100,829","55,500","45,024","10,476","45,333","18,984","26,350",-108,"218,203","235,419","4,502,104",58.1,"268,887"
British Columbia_2012,"44,170","44,107",63,"643,686","569,736","71,865","2,085","36,021","187,489","140,749","55,774","15,063","9,150","31,561","84,975","3,396","43,344","54,486","46,165","19,282","22,749","14,937","7,812","4,134",280,"8,041",600,522,500,22,"85,442","49,179","34,647","14,531","36,263","13,701","22,562","104,682","58,732","47,586","11,146","45,950","19,417","26,533",-6,"223,329","241,975","4,566,769",58.3,"273,123"
British Columbia_2013,"43,893","43,817",76,"640,899","564,528","74,310","2,061","35,613","191,121","144,336","57,167","15,795","9,402","31,971","87,169","3,448","43,347","53,147","45,442","19,396","21,802","14,618","7,182","4,243",369,"7,339","1,082","1,070","1,157",-81,"88,297","51,865","36,895","14,974","36,434","13,612","22,822","105,680","58,629","46,891","11,729","47,049","18,783","28,265",162,"228,310","244,269","4,630,077",58.5,"273,093"
British Columbia_2014,"44,479","44,397",82,"637,089","558,984","76,074","2,031","35,505","195,272","149,395","59,622","16,955","9,874","32,801","89,779","3,418","42,520","56,695","48,478","20,558","23,888","16,070","7,814","4,030",403,"7,817",826,883,856,27,"94,851","55,806","39,096","16,711","39,048","13,943","25,146","111,054","61,786","49,574","12,206","49,261","17,366","31,969",-38,"236,696","251,975","4,707,103",58.7,"276,726"
British Columbia_2015,"44,383","44,315",68,"635,643","552,786","80,637","2,220","35,757","202,331","155,326","62,952","18,329","10,643","33,998","92,402","3,637","43,451","54,920","46,833","22,528","20,938","14,103","6,832","3,367",395,"7,694",184,156,101,46,"94,041","56,639","39,637","17,002","37,419","13,153","24,313","109,916","62,081","49,561","12,515","47,749","16,871","30,949",-129,"241,509","257,194","4,776,388",59.3,"271,272"
British Columbia_2016,"45,397","45,298",99,"637,284","553,374","81,660","2,247","36,111","208,433","160,338","65,287","19,499","10,957","34,852","95,087","4,015","44,179","58,031","49,843","25,916","20,462","12,661","7,744","3,420",329,"7,859",-105,-106,-174,55,"97,054","58,311","40,780","17,530","38,766","12,922","25,885","115,448","65,893","52,808","13,075","49,393","18,125","31,334",199,"248,262","266,460","4,859,250",59.9,"273,408"
British Columbia_2017,"44,773","44,648",125,"643,410","557,625","83,469","2,316",,"217,014","167,984","68,913","21,152","11,454","36,328","99,120","3,993","45,171","60,751","51,910","25,970","22,382","14,297","8,036","3,580",326,"8,520","1,638","1,612","1,668",-35,"99,738","60,395","41,307","19,083","39,310","12,589","26,748","121,506","68,262","55,880","12,409","53,172","19,154","34,092",-76,"257,724","277,778","4,929,384",60.7,"277,974"
