,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
4_Canada_gdp_yearly_Business gross fixed capital formation,"4,028","3,864","4,108","4,119","4,387","5,078","5,846","5,956","6,034","6,040","6,352","6,393","6,529","7,125","7,165","7,774","8,384","9,135","8,593","9,867","9,843","10,327","10,693","11,441","11,446","10,839","11,595","11,864","11,801","10,460","10,571"
4_Canada_gdp_yearly_Residential structures,"1,536","1,556","1,788","2,072","1,837","2,069","1,892","1,872","1,781","1,814","2,027","2,245","2,388","2,641","2,801","2,918","3,105","3,141","3,118","3,313","3,396","3,559","3,747","3,736","3,504","3,563","3,929","4,006","4,078","4,159","4,719"
"4_Canada_gdp_yearly_Non-residential structures, machinery and equipment","2,306","2,138","2,163","1,961","2,327","2,728","3,527","3,591","3,635","3,669","3,741","3,654","3,612","3,955","3,732","4,293","4,614","5,280","4,903","5,803","5,746","6,028","6,196","7,022","7,264","6,630","6,990","7,023","6,881","5,471","4,923"
4_Canada_gdp_yearly_Non-residential structures,"1,790","1,585","1,325","1,314","1,578","1,941","2,259","2,389","2,108","1,675","1,914","1,787","1,862","1,886","1,652","2,201","2,221","2,894","3,004","3,680","3,497","3,334","3,379","4,129","4,337","4,161","4,265","4,450","4,290","3,304","2,491"
4_Canada_gdp_yearly_Machinery and equipment,840,810,931,800,942,"1,067","1,486","1,474","1,631","1,862","1,797","1,797","1,727","1,978","1,945","2,032","2,295","2,331","1,897","2,135","2,254","2,694","2,817","2,889","2,924","2,475","2,727","2,580","2,595","2,165","2,429"
4_Canada_gdp_yearly_Intellectual property products,211,232,287,346,333,384,316,365,457,399,470,453,526,534,680,585,685,716,585,749,701,740,750,687,682,652,682,841,848,830,891
4_Canada_gdp_yearly_Non-profit institutions serving households' gross fixed capital formation,35,31,35,37,37,41,82,44,84,64,72,94,82,50,108,109,73,88,100,106,95,95,104,129,94,82,80,79,77,76,79
4_Canada_gdp_yearly_General governments gross fixed capital formation,"1,443","1,461","1,375","1,544","1,498","1,430","1,247","1,319","1,543","1,456","1,557","1,524","1,596","1,659","1,844","2,183","2,445","2,648","2,502","3,037","2,934","3,148","2,872","2,615","2,766","2,802","2,631","2,244","2,091","2,232","2,187"
4_Canada_gdp_yearly_Investment in inventories,-475,-520,-365,380,227,495,790,-184,436,319,-441,-25,958,283,24,"1,193",205,613,-278,-546,-304,896,"1,392",507,289,221,409,485,639,-697,-909
4_Canada_gdp_yearly_Of which: business investment in inventories,-471,-520,-366,380,226,495,791,-184,435,318,-441,-23,956,283,24,"1,195",203,608,-269,-563,-297,859,"1,395",529,277,222,427,466,646,-828,-750
4_Canada_gdp_yearly_Non-farm,-405,-443,-176,53,146,103,778,-235,350,35,-249,93,378,331,188,668,338,278,-311,86,368,17,438,383,-84,373,285,500,712,-675,55
4_Canada_gdp_yearly_Farm,13,7,-231,452,83,507,-138,129,31,413,-214,-185,764,-200,-339,601,-260,372,94,-785,-734,842,960,146,360,-142,144,-29,-67,-155,-775
4_Canada_gdp_yearly_Exports of goods and services,"13,627","14,728","14,652","16,305","16,847","17,755","19,556","21,830","22,072","23,467","24,145","24,181","24,532","25,557","26,544","27,707","30,435","30,328","30,403","30,793","31,698","32,162","32,310","33,316","32,582","32,519","33,810","34,380","34,987","32,832","32,733"
4_Canada_gdp_yearly_Exports to other countries,"5,670","6,077","6,284","7,052","7,159","7,803","9,411","10,460","10,275","10,660","11,115","11,367","11,509","11,968","13,005","13,348","14,919","14,755","14,437","14,486","15,360","15,056","14,927","15,652","15,364","15,579","15,673","16,159","15,898","15,017","14,091"
4_Canada_gdp_yearly_Exports of goods to other countries,"5,117","5,462","5,641","6,232","6,361","6,908","8,414","9,346","9,074","9,539","9,965","10,168","10,314","10,851","11,685","12,012","13,556","13,467","12,991","12,907","13,782","13,403","13,189","13,779","13,375","13,404","13,356","13,607","13,156","12,624","11,922"
4_Canada_gdp_yearly_Exports of services to other countries,565,630,661,859,828,936,"1,025","1,146","1,251","1,152","1,178","1,232","1,226","1,133","1,350","1,365","1,377","1,297","1,452","1,578","1,580","1,654","1,738","1,873","1,990","2,171","2,308","2,537","2,720","2,379","2,154"
4_Canada_gdp_yearly_Exports to other provinces,"8,129","8,845","8,519","9,410","9,878","10,096","10,146","11,380","11,854","12,910","13,108","12,850","13,062","13,634","13,501","14,353","15,460","15,536","15,962","16,304","16,343","17,106","17,381","17,662","17,215","16,937","18,127","18,214","19,076","17,802","18,668"
4_Canada_gdp_yearly_Exports of goods to other provinces,"3,163","3,348","3,169","3,785","4,259","4,514","4,568","4,954","5,161","5,714","5,898","5,906","6,098","6,404","6,049","6,349","7,196","7,338","8,192","8,350","8,309","8,929","9,602","9,094","8,419","8,324","9,433","9,241","10,155","9,182","10,118"
4_Canada_gdp_yearly_Exports of services to other provinces,"5,101","5,651","5,507","5,745","5,681","5,606","5,595","6,480","6,750","7,243","7,241","6,953","6,959","7,218","7,479","8,043","8,281","8,212","7,769","7,953","8,033","8,177","7,781","8,582","8,836","8,650","8,707","9,002","8,917","8,637","8,515"
4_Canada_gdp_yearly_Less: imports of goods and services,"14,797","15,047","15,643","17,107","18,248","19,258","21,586","21,925","23,008","23,479","23,992","24,666","26,301","27,195","27,925","30,029","33,312","34,434","33,574","35,273","36,597","37,998","38,404","38,465","37,583","36,750","38,407","38,784","39,213","35,779","37,848"
4_Canada_gdp_yearly_Imports from other countries,"5,063","5,297","5,677","6,547","7,366","7,390","8,714","8,946","9,045","9,416","9,054","9,624","10,353","10,897","11,545","12,397","14,250","15,475","13,187","14,713","15,519","17,063","17,631","17,656","17,665","16,987","18,049","18,422","18,303","16,148","17,147"
4_Canada_gdp_yearly_Imports of goods from other countries,"3,965","4,175","4,481","5,341","6,057","6,010","7,249","7,519","7,603","7,868","7,564","8,095","8,743","9,214","9,757","10,380","12,204","13,254","11,238","12,572","13,357","14,679","14,990","15,036","14,912","14,228","15,295","15,602","15,352","14,034","15,091"
4_Canada_gdp_yearly_Imports of services from other countries,"1,202","1,220","1,297","1,254","1,344","1,440","1,483","1,426","1,441","1,554","1,497","1,529","1,608","1,681","1,786","2,016","2,044","2,219","1,948","2,140","2,162","2,384","2,639","2,618","2,754","2,764","2,758","2,823","2,951","2,134","2,087"
4_Canada_gdp_yearly_Imports from other provinces,"10,147","10,115","10,275","10,735","10,879","12,040","12,883","12,947","14,084","14,112","15,204","15,187","16,073","16,379","16,403","17,660","19,048","18,912","20,462","20,570","21,080","20,935","20,773","20,809","19,890","19,768","20,330","20,315","20,897","19,691","20,757"
4_Canada_gdp_yearly_Imports of goods from other provinces,"5,214","5,099","4,924","5,320","5,259","6,215","6,599","6,477","7,294","7,179","8,016","7,878","8,523","8,345","8,111","8,626","9,899","9,213","10,300","10,037","10,247","9,961","10,096","9,660","9,255","9,383","9,469","9,343","9,316","8,995","9,551"
4_Canada_gdp_yearly_Imports of services from other provinces,"4,927","5,006","5,342","5,401","5,614","5,788","6,248","6,441","6,748","6,902","7,118","7,254","7,471","7,999","8,297","9,057","9,105","9,731","10,159","10,530","10,831","10,973","10,679","11,156","10,640","10,395","10,865","10,974","11,583","10,703","11,211"
4_Canada_gdp_yearly_Statistical discrepancy,279,-172,37,79,132,-26,266,236,59,167,160,96,10,14,119,-16,5,-4,-20,-51,-35,-41,3,-13,-11,-10,-17,15,7,10,13
4_Canada_gdp_yearly_Gross domestic product at market prices,"37,004","37,272","37,304","38,774","38,795","39,800","41,525","43,381","43,990","45,856","46,346","47,142","47,766","48,948","50,322","52,166","53,501","55,454","55,370","56,727","58,087","59,846","61,583","62,853","63,628","64,549","66,670","68,003","68,813","65,763","66,917"
4_Canada_gdp_yearly_Final domestic demand,"38,105","37,953","38,378","38,839","39,704","40,683","42,414","43,096","44,182","44,972","46,067","47,186","48,331","50,011","51,233","53,149","55,841","58,720","58,512","61,418","62,880","64,827","65,752","66,930","67,768","67,976","70,289","71,313","71,804","68,608","71,969"
6_Estimates of population_Manitoba,,,,,,,,,,,"1,151,454","1,156,680","1,163,596","1,173,238","1,178,264","1,183,562","1,189,451","1,197,775","1,208,556","1,220,780","1,233,649","1,249,975","1,264,620","1,279,014","1,292,227","1,314,139","1,334,790","1,352,825","1,369,954","1,380,648","1,383,765"
7_Dependency ratio_Manitoba,,,,,,,,,,,71.0,70.2,69.5,68.6,68.0,67.6,67.3,67.2,67.1,66.8,66.7,66.9,67.1,67.3,67.7,68.0,68.4,69.0,69.6,70.1,70.3
9_Postsecondary enrolments_Manitoba,,,"43,260","42,675","41,058","38,379","37,797","37,068","37,428","38,241","40,641","43,008","44,667","47,931","49,692","55,452","50,085","49,305","51,300","54,945","62,001","60,702","61,533","62,211","61,974","63,192","62,952","62,802","63,363","65,037","63,363"
