,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
4_Canada_gdp_yearly_Non-durable goods,"3,744","3,756","3,767","3,771","3,751","3,735","3,668","3,668","3,732","3,771","3,821","3,905","3,985","3,982","3,962","3,993","4,107","4,236","4,375","4,418","4,463","4,493","4,614","4,738","4,764","4,739","4,744","4,742","4,787","4,834","4,850"
4_Canada_gdp_yearly_Services,"3,884","4,015","4,058","4,137","4,264","4,332","4,441","4,594","4,745","4,944","5,034","5,185","5,337","5,507","5,650","5,814","6,016","6,172","6,308","6,542","6,758","6,960","7,187","7,371","7,549","7,621","7,755","7,812","7,953","7,134","7,480"
4_Canada_gdp_yearly_Non-profit institutions serving households' final consumption expenditure,116,110,137,101,130,125,165,184,209,203,195,214,229,221,228,237,220,244,251,244,259,257,247,232,248,270,272,280,284,275,268
4_Canada_gdp_yearly_General governments final consumption expenditure,"5,740","5,852","5,694","5,725","5,590","5,432","5,262","5,651","5,749","5,952","6,014","6,155","6,232","6,132","6,226","6,357","7,109","6,809","7,362","7,563","7,572","7,458","7,307","7,125","7,194","7,241","7,178","7,395","7,371","7,540","8,216"
4_Canada_gdp_yearly_Gross fixed capital formation,"3,104","3,056","3,545","4,011","4,090","3,366","3,777","3,808","4,853","4,330","4,347","4,370","4,635","5,173","5,721","5,312","4,998","5,698","5,488","6,522","8,073","9,825","11,402","11,527","11,289","12,207","9,381","7,990","8,400","6,603","6,007"
4_Canada_gdp_yearly_Business gross fixed capital formation,"2,359","2,329","2,783","3,324","3,480","2,828","3,288","3,184","4,032","3,514","3,507","3,420","3,979","4,658","5,043","4,589","4,205","4,781","4,317","5,114","6,706","8,408","10,152","10,229","10,148","11,192","8,177","6,671","6,951","5,384","4,870"
4_Canada_gdp_yearly_Residential structures,982,828,833,877,702,732,839,849,860,895,"1,014","1,187","1,274","1,443","1,450","1,451","1,567","1,611","1,629","1,847","1,872","1,962","1,844","1,643","1,497","1,359","1,251","1,182","1,111","1,146","1,288"
"4_Canada_gdp_yearly_Non-residential structures, machinery and equipment","1,317","1,431","1,815","2,243","2,420","1,817","2,206","2,023","2,509","2,282","2,201","1,900","2,295","2,911","3,094","2,365","2,095","2,735","2,383","2,619","4,272","5,594","7,347","8,112","7,946","9,210","6,363","4,866","5,190","3,660","3,109"
4_Canada_gdp_yearly_Non-residential structures,"1,078","1,233","1,944","2,527","2,516","1,708","1,972","1,657","2,340","1,339","1,843","1,323","1,580","1,984","2,166","1,550","1,173","1,759","1,614","1,599","2,822","4,388","5,815","6,754","6,958","8,451","5,445","3,844","3,839","2,830","2,071"
4_Canada_gdp_yearly_Machinery and equipment,332,329,233,228,346,348,473,512,487,867,528,612,750,965,986,832,899,977,779,"1,016","1,448","1,206","1,532","1,353",994,776,927,"1,020","1,341",828,"1,035"
4_Canada_gdp_yearly_Intellectual property products,103,58,69,89,182,191,126,224,505,223,218,329,376,240,413,739,544,418,300,644,562,852,962,486,706,611,573,636,656,598,496
4_Canada_gdp_yearly_Non-profit institutions serving households' gross fixed capital formation,41,37,29,43,32,44,24,15,26,26,31,35,29,18,43,44,9,32,40,47,46,42,36,29,24,15,14,14,12,11,12
4_Canada_gdp_yearly_General governments gross fixed capital formation,708,694,736,648,583,499,469,608,795,787,806,907,638,519,657,693,794,893,"1,136","1,366","1,322","1,375","1,216","1,270","1,118",998,"1,196","1,310","1,443","1,212","1,130"
4_Canada_gdp_yearly_Investment in inventories,-68,-105,-73,-54,20,-36,235,-36,-34,236,148,-200,100,117,146,203,211,-56,-210,266,200,154,117,155,102,65,-16,76,90,114,28
4_Canada_gdp_yearly_Of which: business investment in inventories,-69,-107,-74,-55,21,-36,237,-37,-34,239,149,-202,101,118,148,206,214,-58,-212,268,206,-14,185,169,57,93,-43,29,97,199,-54
4_Canada_gdp_yearly_Non-farm,-69,-106,-73,-55,21,-36,238,-37,-36,239,147,-202,101,117,147,204,214,-57,-212,268,206,-12,185,168,57,92,-46,30,98,200,-59
4_Canada_gdp_yearly_Farm,0,0,-1,1,0,0,-1,0,3,0,1,0,1,2,0,1,0,-2,-1,0,0,-2,0,1,-1,1,2,0,0,-1,4
4_Canada_gdp_yearly_Exports of goods and services,"8,840","7,774","8,154","8,745","9,983","9,876","10,520","12,432","13,311","14,912","14,713","19,698","21,853","21,743","21,799","23,069","26,160","25,801","20,823","21,819","22,208","20,300","20,972","19,345","17,770","18,675","19,624","20,564","21,528","19,329","18,592"
4_Canada_gdp_yearly_Exports to other countries,"6,145","5,317","6,171","6,521","7,726","7,614","8,291","9,695","10,373","10,926","8,921","13,062","13,648","13,335","12,708","13,596","16,451","17,070","14,059","13,636","13,928","10,711","13,132","12,429","11,731","13,051","14,021","15,797","17,020","15,361","14,452"
4_Canada_gdp_yearly_Exports of goods to other countries,"5,921","5,075","5,887","6,284","7,467","7,292","7,845","9,110","9,863","10,393","8,352","12,495","13,120","12,796","12,164","13,069","15,934","16,549","13,366","13,003","13,320","10,027","12,487","11,745","11,003","12,165","13,123","14,828","16,170","14,337","13,629"
4_Canada_gdp_yearly_Exports of services to other countries,229,223,260,240,271,309,393,497,465,486,495,555,541,543,540,532,539,544,681,630,610,684,645,684,714,846,871,946,845,967,793
4_Canada_gdp_yearly_Exports to other provinces,"2,556","2,319","1,947","2,166","2,240","2,241","2,230","2,723","2,921","3,953","5,817","6,700","8,232","8,426","9,098","9,481","9,780","8,915","6,952","8,239","8,340","9,590","7,737","6,798","5,933","5,568","5,567","4,724","4,441","3,912","4,087"
4_Canada_gdp_yearly_Exports of goods to other provinces,"1,492","1,258",905,"1,149","1,186","1,289","1,198","1,625","1,900","2,823","4,992","5,755","7,298","7,298","7,869","8,202","8,452","7,593","5,482","6,773","6,577","7,865","6,056","5,076","4,199","3,695","3,634","2,709","2,488","2,180","2,412"
4_Canada_gdp_yearly_Exports of services to other provinces,763,744,710,707,733,673,717,786,757,886,819,940,"1,024","1,156","1,256","1,306","1,354","1,343","1,442","1,484","1,770","1,724","1,673","1,700","1,674","1,747","1,792","1,822","1,760","1,558","1,525"
4_Canada_gdp_yearly_Less: imports of goods and services,"8,734","8,435","8,960","9,303","9,781","9,509","10,618","11,299","12,629","13,175","12,870","13,217","14,295","15,085","15,250","15,370","15,874","16,737","15,991","17,588","18,971","20,620","21,584","20,539","19,589","20,892","18,148","18,743","19,110","16,091","15,858"
4_Canada_gdp_yearly_Imports from other countries,"2,704","2,486","2,833","3,184","3,798","3,769","4,658","5,222","5,774","6,488","6,077","6,451","6,962","7,609","7,587","7,691","8,121","8,411","8,319","9,387","10,090","11,476","12,415","11,433","10,654","12,708","9,999","10,992","10,927","8,327","8,090"
4_Canada_gdp_yearly_Imports of goods from other countries,"2,458","2,218","2,537","2,823","3,440","3,412","4,264","4,825","5,358","6,084","5,612","6,030","6,468","7,099","7,079","7,128","7,538","7,816","7,701","8,651","9,141","10,588","11,412","10,512","9,747","11,866","9,137","10,127","10,076","7,620","7,467"
4_Canada_gdp_yearly_Imports of services from other countries,237,251,279,338,343,341,384,395,420,423,465,439,503,527,526,575,596,608,629,744,944,888,"1,002",920,905,857,855,865,852,698,625
4_Canada_gdp_yearly_Imports from other provinces,"5,941","5,850","6,038","6,039","5,921","5,682","5,916","6,047","6,819","6,664","6,768","6,739","7,305","7,457","7,641","7,657","7,734","8,310","7,655","8,193","8,873","9,144","9,177","9,107","8,933","8,206","8,151","7,749","8,190","7,770","7,770"
4_Canada_gdp_yearly_Imports of goods from other provinces,"2,759","2,652","2,525","2,785","2,653","2,617","2,669","2,419","2,652","2,691","2,648","2,836","2,968","2,969","2,953","2,935","3,227","3,400","3,071","3,079","3,534","3,526","3,162","2,922","3,241","2,837","2,705","2,445","2,660","2,678","2,613"
4_Canada_gdp_yearly_Imports of services from other provinces,"3,204","3,213","3,514","3,267","3,280","3,076","3,259","3,634","4,170","3,976","4,126","3,903","4,341","4,495","4,701","4,737","4,506","4,911","4,585","5,112","5,339","5,618","6,013","6,186","5,690","5,361","5,434","5,289","5,515","5,082","5,149"
4_Canada_gdp_yearly_Statistical discrepancy,209,149,130,73,74,109,-124,-50,9,8,36,94,11,37,-47,-33,-7,-4,-43,-50,-46,-44,45,-4,-3,-3,-4,3,-4,-4,-3
4_Canada_gdp_yearly_Gross domestic product at market prices,"19,372","18,987","19,257","20,012","20,656","19,682","19,908","20,895","22,144","23,334","23,894","27,746","29,562","29,354","30,187","31,391","34,929","34,404","30,954","32,639","33,531","32,064","33,748","33,355","32,965","33,461","33,953","33,065","34,391","32,796","33,006"
4_Canada_gdp_yearly_Final domestic demand,"17,498","17,597","18,046","18,619","18,747","17,887","18,501","19,151","20,752","20,731","21,098","21,617","22,319","22,938","23,767","23,791","24,802","25,856","26,564","28,288","30,241","32,273","34,130","34,394","34,483","35,509","32,718","31,521","32,247","29,713","30,460"
6_Estimates of population_Newfoundland and Labrador,,,,,,,,,,,"522,046","519,481","518,459","517,423","514,332","510,592","509,055","511,581","516,751","522,009","524,999","526,345","527,114","528,159","528,117","529,426","528,249","525,560","523,427","521,364","520,553"
7_Dependency ratio_Newfoundland and Labrador,,,,,,,,,,,58.4,57.6,56.6,55.9,55.4,55.3,55.5,55.7,56.0,55.8,56.6,57.5,58.4,59.6,60.8,62.2,63.9,65.7,67.5,69.1,70.5
9_Postsecondary enrolments_Newfoundland and Labrador,,,"22,683","22,548","23,346","22,077","21,864","21,948","22,155","23,820","21,447","24,126","26,196","26,751","25,335","29,436","26,904","27,156","27,129","27,462","28,500","28,188","28,500","27,207","26,742","26,979","25,968","25,305","24,795","25,083","26,181"
