,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
4_Canada_gdp_yearly_Residential structures,,,,,,,,,72,72,46,48,38,43,42,42,57,42,42,42,55,71,69,48,56,44,47,38,47,40,48
"4_Canada_gdp_yearly_Non-residential structures, machinery and equipment",,,,,,,,,168,109,164,94,155,148,225,282,136,563,310,388,263,231,676,456,423,451,894,"1,352","1,192",687,778
4_Canada_gdp_yearly_Non-residential structures,,,,,,,,,177,101,162,59,107,109,190,279,37,429,237,319,203,165,500,354,308,363,674,936,893,537,579
4_Canada_gdp_yearly_Machinery and equipment,,,,,,,,,32,25,35,31,48,43,55,48,86,131,72,70,60,66,176,101,114,89,219,408,297,151,198
4_Canada_gdp_yearly_Intellectual property products,,,,,,,,,16,46,27,104,142,234,234,149,575,634,233,269,538,436,263,162,206,197,172,144,106,64,126
4_Canada_gdp_yearly_Non-profit institutions serving households' gross fixed capital formation,,,,,,,,,0,0,1,1,1,0,1,2,3,16,3,2,1,1,2,1,1,1,1,2,2,2,2
4_Canada_gdp_yearly_General governments gross fixed capital formation,,,,,,,,,145,143,160,147,202,170,131,148,205,185,274,255,265,156,201,268,284,301,321,319,352,194,148
4_Canada_gdp_yearly_Investment in inventories,,,,,,,,,0,-44,-37,-182,-64,-63,-42,-69,1,21,-19,-1,-4,10,32,115,-50,98,132,34,0,55,57
4_Canada_gdp_yearly_Of which: business investment in inventories,,,,,,,,,0,-44,-37,-182,-63,-63,-42,-70,1,15,-23,-1,4,25,27,32,0,110,112,-15,-5,139,110
4_Canada_gdp_yearly_Non-farm,,,,,,,,,0,-44,-37,-182,-63,-63,-42,-70,1,15,-23,-1,4,25,27,32,0,110,112,-15,-5,139,110
4_Canada_gdp_yearly_Farm,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
4_Canada_gdp_yearly_Exports of goods and services,,,,,,,,,325,403,403,419,207,214,183,231,208,189,198,607,783,871,979,943,867,965,"1,268","1,393","1,894","2,002","2,255"
4_Canada_gdp_yearly_Exports to other countries,,,,,,,,,186,245,239,194,55,57,32,55,55,43,17,18,19,26,26,31,92,168,440,510,755,652,804
4_Canada_gdp_yearly_Exports of goods to other countries,,,,,,,,,176,236,229,180,30,32,9,33,37,23,7,5,5,9,5,8,67,138,380,443,663,574,711
4_Canada_gdp_yearly_Exports of services to other countries,,,,,,,,,20,21,22,25,27,27,24,26,23,22,10,12,13,17,21,22,20,19,25,24,25,18,17
4_Canada_gdp_yearly_Exports to other provinces,,,,,,,,,76,76,85,163,139,145,151,165,141,136,179,588,766,845,953,912,768,774,658,678,815,"1,124","1,128"
4_Canada_gdp_yearly_Exports of goods to other provinces,,,,,,,,,6,6,7,10,11,8,8,5,8,8,4,414,513,631,783,729,607,608,470,478,627,926,924
4_Canada_gdp_yearly_Exports of services to other provinces,,,,,,,,,62,62,68,135,112,122,127,141,117,113,154,174,249,214,178,187,164,168,184,195,189,200,206
4_Canada_gdp_yearly_Less: imports of goods and services,,,,,,,,,"1,021","1,060","1,123","1,013","1,119","1,140","1,208","1,235","1,635","1,996","1,519","1,730","1,944","1,824","2,037","1,942","1,934","2,033","2,546","3,109","3,205","2,568","2,734"
4_Canada_gdp_yearly_Imports from other countries,,,,,,,,,278,280,319,257,286,252,316,291,378,444,304,316,332,312,637,570,565,592,844,"1,171","1,111",960,937
4_Canada_gdp_yearly_Imports of goods from other countries,,,,,,,,,226,234,254,206,251,222,277,260,341,394,266,256,269,251,574,479,475,503,739,"1,016",973,873,822
4_Canada_gdp_yearly_Imports of services from other countries,,,,,,,,,49,44,60,47,37,31,41,34,41,55,40,60,62,61,64,92,90,89,105,155,137,87,115
4_Canada_gdp_yearly_Imports from other provinces,,,,,,,,,733,772,792,750,825,883,886,937,"1,248","1,543","1,215","1,416","1,613","1,511","1,398","1,373","1,370","1,442","1,689","1,906","2,074","1,578","1,782"
4_Canada_gdp_yearly_Imports of goods from other provinces,,,,,,,,,310,311,313,292,350,405,369,386,547,753,410,489,537,530,386,414,315,359,473,509,574,426,487
4_Canada_gdp_yearly_Imports of services from other provinces,,,,,,,,,422,461,478,458,475,477,518,552,702,790,805,926,"1,075",981,"1,013",957,"1,056","1,085","1,220","1,401","1,504","1,156","1,299"
4_Canada_gdp_yearly_Statistical discrepancy,,,,,,,,,-12,-10,3,-1,-10,-8,3,5,0,11,0,-5,-3,-4,6,1,2,3,5,-3,2,2,-1
4_Canada_gdp_yearly_Gross domestic product at market prices,,,,,,,,,"1,255","1,310","1,392","1,423","1,423","1,487","1,481","1,497","1,620","1,851","1,721","2,039","2,150","2,199","2,410","2,379","2,372","2,492","2,821","2,953","3,175","3,211","3,467"
4_Canada_gdp_yearly_Final domestic demand,,,,,,,,,"1,955","2,013","2,135","2,225","2,406","2,482","2,537","2,566","3,032","3,599","3,019","3,155","3,323","3,146","3,465","3,214","3,380","3,434","3,944","4,535","4,355","3,718","3,940"
6_Estimates of population_Nunavut,,,,,,,,,,,"28,133","28,822","29,322","29,857","30,339","30,813","31,395","31,892","32,597","33,352","34,192","34,672","35,337","35,971","36,488","36,975","37,546","38,143","38,592","39,155","39,403"
7_Dependency ratio_Nunavut,,,,,,,,,,,92.8,91.1,90.4,89,87.5,86,84.9,84.5,83.1,81.8,80.4,79.7,79.6,79.6,80,79.6,79.3,79.5,79.9,78.9,78.3
9_Postsecondary enrolments_Territories,,,"1,455","1,899","2,253","1,398","1,329","1,464","1,656","1,491","1,428","1,554","1,482","1,419","1,491","2,634","1,029",999,894,"1,041","1,182","4,062","3,681","3,834","3,993","3,612","3,549","3,534","4,071","4,803","2,307"
