Area_Year,"1_Live births_Total, Canada and place of residence of mother outside Canada 10 11","1_Live births_Canada, place of residence of mother 10",1_Live births_Place of residence of mother outside Canada 11,"2_Number of students in elementary and secondary schools_Total, school type Total, program type","2_Number of students in elementary and secondary schools_Total, school type Regular programs for youth 5","2_Number of students in elementary and secondary schools_Total, school type General programs for adults 6","2_Number of students in elementary and secondary schools_Total, school type Vocational programs for youth and adults 7","2_Number of students in elementary and secondary schools_Public school Total, program type",2_Number of students in elementary and secondary schools_Public school Regular programs for youth 5,2_Number of students in elementary and secondary schools_Public school General programs for adults 6,2_Number of students in elementary and secondary schools_Public school Vocational programs for youth and adults 7,"2_Number of students in elementary and secondary schools_Priviate school Total, program type",2_Number of students in elementary and secondary schools_Priviate school Regular programs for youth 5,2_Number of students in elementary and secondary schools_Priviate school General programs for adults 6,2_Number of students in elementary and secondary schools_Priviate school Vocational programs for youth and adults 7,"2_Number of students in elementary and secondary schools_Home-schooling Total, program type",2_Number of students in elementary and secondary schools_Home-schooling Regular programs for youth 5,2_Number of students in elementary and secondary schools_Home-schooling General programs for adults 6,2_Number of students in elementary and secondary schools_Home-schooling Vocational programs for youth and adults 7,3_Number of full-time and part-time educators_Saskatchewan 6 9,4_Canada_gdp_yearly_Final consumption expenditure,4_Canada_gdp_yearly_Household final consumption expenditure,4_Canada_gdp_yearly_Goods,4_Canada_gdp_yearly_Durable goods,4_Canada_gdp_yearly_Semi-durable goods,4_Canada_gdp_yearly_Non-durable goods,4_Canada_gdp_yearly_Services,4_Canada_gdp_yearly_Non-profit institutions serving households' final consumption expenditure,4_Canada_gdp_yearly_General governments final consumption expenditure,4_Canada_gdp_yearly_Gross fixed capital formation,4_Canada_gdp_yearly_Business gross fixed capital formation,4_Canada_gdp_yearly_Residential structures,"4_Canada_gdp_yearly_Non-residential structures, machinery and equipment",4_Canada_gdp_yearly_Non-residential structures,4_Canada_gdp_yearly_Machinery and equipment,4_Canada_gdp_yearly_Intellectual property products,4_Canada_gdp_yearly_Non-profit institutions serving households' gross fixed capital formation,4_Canada_gdp_yearly_General governments gross fixed capital formation,4_Canada_gdp_yearly_Investment in inventories,4_Canada_gdp_yearly_Of which: business investment in inventories,4_Canada_gdp_yearly_Non-farm,4_Canada_gdp_yearly_Farm,4_Canada_gdp_yearly_Exports of goods and services,4_Canada_gdp_yearly_Exports to other countries,4_Canada_gdp_yearly_Exports of goods to other countries,4_Canada_gdp_yearly_Exports of services to other countries,4_Canada_gdp_yearly_Exports to other provinces,4_Canada_gdp_yearly_Exports of goods to other provinces,4_Canada_gdp_yearly_Exports of services to other provinces,4_Canada_gdp_yearly_Less: imports of goods and services,4_Canada_gdp_yearly_Imports from other countries,4_Canada_gdp_yearly_Imports of goods from other countries,4_Canada_gdp_yearly_Imports of services from other countries,4_Canada_gdp_yearly_Imports from other provinces,4_Canada_gdp_yearly_Imports of goods from other provinces,4_Canada_gdp_yearly_Imports of services from other provinces,4_Canada_gdp_yearly_Statistical discrepancy,4_Canada_gdp_yearly_Gross domestic product at market prices,4_Canada_gdp_yearly_Final domestic demand,6_Estimates of population_Saskatchewan,7_Dependency ratio_Saskatchewan,9_Postsecondary enrolments_Saskatchewan
Saskatchewan_2001,"12,260","12,253",7,"186,588","184,494","2,091",0,"186,588","184,494","2,094",0,,,,,,,,,,"33,583","22,272","9,783","2,119","1,298","6,558","12,552",552,"10,850","9,928","8,241","1,835","5,639","4,183","1,619",695,45,"1,648",-806,-806,172,"-1,449","41,468","27,305","26,439",860,"14,483","11,274","3,266","23,455","7,780","6,709","1,065","15,985","6,726","9,342",92,"60,993","43,677","1,000,239",77.8,"35,904"
Saskatchewan_2002,"11,750","11,748",2,"183,024","180,711","2,313",0,"183,024","180,711","2,313",0,,,,,,,,,"12,348","34,485","22,906","10,144","2,270","1,355","6,683","12,813",604,"11,062","9,423","7,769","2,008","5,194","3,774","1,532",592,57,"1,601",-351,-350,310,"-1,032","40,086","26,328","25,355",939,"14,056","10,798","3,289","23,613","7,989","6,927","1,052","15,869","6,465","9,525",92,"60,789","44,094","996,807",76.8,"36,330"
Saskatchewan_2003,"12,128","12,122",6,"184,605","182,553","2,052",0,"184,605","182,553","2,052",0,,,,,,,,,"12,378","35,163","23,425","10,433","2,418","1,392","6,761","13,035",589,"11,224","10,092","8,566","2,184","5,530","3,789","1,755",885,49,"1,480","1,765","1,762",538,"1,571","39,723","25,413","24,493",891,"14,456","11,069","3,415","24,773","8,468","7,269","1,196","16,530","7,021","9,583",130,"63,564","45,425","996,386",75.5,"38,244"
Saskatchewan_2004,"12,078","12,074",4,"182,130","179,883","2,244",0,"182,127","179,883","2,244",0,,,,,,,,,"12,261","35,609","23,810","10,537","2,446","1,431","6,789","13,328",555,"11,306","10,246","8,688","2,378","5,453","3,684","1,762",943,31,"1,532","1,354","1,355",452,"1,182","43,628","27,456","26,587",859,"16,230","12,576","3,704","25,602","9,068","7,866","1,193","16,687","6,766","10,067",228,"66,605","46,026","997,283",74.1,"38,706"
Saskatchewan_2005,"12,111","12,109",2,"178,710","176,118","2,592",0,"178,710","176,115","2,592",0,,,,,,,,,"12,171","36,410","24,500","10,913","2,591","1,509","6,922","13,631",561,"11,390","11,944","10,186","2,522","6,606","4,578","2,061","1,084",76,"1,681","2,228","2,228",760,"1,946","43,492","27,832","26,868",944,"15,816","12,035","3,811","27,010","10,215","8,910","1,293","16,839","6,359","10,752",-47,"68,360","48,443","993,500",73.1,"37,032"
Saskatchewan_2006,"12,427","12,424",3,"175,587","172,833","2,757",0,"175,587","172,833","2,757",0,,,,,,,,,"12,444","37,580","25,400","11,361","2,776","1,641","7,020","14,076",567,"11,642","13,318","11,457","2,699","7,693","5,071","2,584","1,054",90,"1,768",670,672,"1,108","-1,297","44,117","27,340","26,348",969,"16,756","12,657","4,125","29,269","11,139","9,697","1,429","18,169","6,944","11,494",50,"67,347","50,934","992,314",72.3,"40,965"
Saskatchewan_2007,"13,446","13,446",0,"169,713","166,722","2,991",0,"166,497","163,518","2,979",0,"2,004","1,998",6,0,"1,212","1,206",6,0,"12,252","39,603","27,006","12,243","3,196","1,803","7,274","14,781",558,"12,047","14,314","12,532","3,075","8,050","4,928","2,999","1,419",64,"1,722",655,653,"1,151",-968,"46,484","29,218","28,385",843,"17,323","12,796","4,541","32,111","12,696","10,901","1,782","19,421","8,136","11,389",9,"69,855","53,945","1,002,086",71.4,"45,120"
Saskatchewan_2008,"13,969","13,964",5,"171,189","168,348","2,844",,"167,064","164,250","2,817",,"2,334","2,316",21,,"1,791","1,782",6,,"11,694","41,662","28,556","13,164","3,654","1,952","7,559","15,390",586,"12,519","16,752","14,394","3,157","9,466","6,223","3,165","1,778",89,"2,269","1,699","1,690",123,"1,803","47,778","29,961","29,007",951,"17,851","12,967","4,909","35,304","15,244","13,070","2,159","20,076","7,970","12,315",-29,"73,518","58,426","1,017,404",70.3,"52,053"
Saskatchewan_2009,"14,535","14,526",9,"170,526","167,532","2,994",,"164,763","161,796","2,964",,"3,975","3,948",27,,"1,788","1,782",6,,"11,904","42,547","29,040","13,335","3,631","1,964","7,747","15,705",610,"12,902","16,647","14,473","2,886","10,327","7,493","2,855","1,260",72,"2,103",-414,-413,-932,796,"45,882","28,501","27,527",970,"17,426","12,376","5,076","35,859","14,076","12,076","1,987","21,739","9,431","12,350",10,"69,597","59,204","1,034,819",69.0,"51,522"
Saskatchewan_2010,"14,538","14,532",6,"171,810","168,408","3,402",,"166,002","162,630","3,375",,"3,891","3,867",24,,"1,917","1,914",3,,"12,099","43,860","29,954","13,599","3,736","2,002","7,866","16,358",616,"13,294","19,414","16,854","3,166","12,508","9,050","3,480","1,178",63,"2,499","-1,242","-1,245",-88,"-1,369","49,111","31,265","30,187","1,073","17,894","12,598","5,311","39,062","15,863","13,714","2,137","23,162","10,271","12,912",-92,"72,851","63,290","1,051,443",67.9,"51,327"
Saskatchewan_2011,"14,564","14,560",4,"171,078","169,665","1,410",,"165,573","164,163","1,410",,"3,555","3,555",3,,"1,950","1,947",0,,"12,426","44,868","30,874","14,124","4,007","2,101","8,017","16,751",651,"13,343","21,318","18,829","3,726","13,823","9,605","4,220","1,280",64,"2,424",16,24,339,-380,"52,398","33,931","32,871","1,060","18,505","12,486","6,016","42,535","17,974","15,816","2,157","24,569","11,036","13,539",-78,"76,697","66,192","1,066,026",67.0,"51,450"
Saskatchewan_2012,"15,042","15,034",8,"172,551","171,324","1,227",,"166,863","165,639","1,224",,"3,693","3,690",6,,"1,995","1,992",3,,"12,564","46,058","32,061","14,817","4,375","2,267","8,175","17,244",658,"13,339","23,264","20,902","4,336","15,114","10,357","4,757","1,452",76,"2,286",-140,-159,-188,29,"53,032","35,412","34,306","1,106","17,620","11,594","6,026","44,123","18,481","16,255","2,226","25,642","11,737","13,905",-85,"78,007","69,322","1,083,755",66.8,"52,356"
Saskatchewan_2013,"15,011","15,005",6,"176,085","175,017","1,065",,"169,728","168,669","1,056",,"4,368","4,359",9,,"1,989","1,989",0,,"12,726","47,056","33,256","15,478","4,637","2,397","8,445","17,779",693,"13,109","25,093","22,785","4,413","16,930","11,284","5,649","1,442",97,"2,212","2,565","2,565",65,"2,451","51,736","33,662","32,515","1,145","18,058","11,415","6,642","44,406","19,208","16,692","2,513","25,203","10,727","14,479",50,"83,111","72,145","1,099,736",66.6,"52,890"
Saskatchewan_2014,"15,770","15,765",5,"178,479","177,195","1,281",,"171,987","170,715","1,272",,"4,395","4,386",6,,"2,097","2,097",0,,"13,044","47,890","34,092","15,720","4,648","2,461","8,610","18,371",718,"13,085","26,038","23,655","4,354","17,942","12,477","5,460","1,358",118,"2,266",-296,-293,95,-395,"55,123","35,888","34,611","1,273","19,217","12,146","7,070","45,200","19,349","16,666","2,678","25,856","10,038","15,856",-50,"84,786","73,923","1,112,979",66.7,"52,869"
Saskatchewan_2015,"15,497","15,493",4,"181,545","180,456","1,089",,"174,747","173,664","1,083",,"4,638","4,632",6,,"2,163","2,160",0,,"12,894","48,533","34,321","15,562","4,545","2,482","8,535","18,751",764,"13,450","22,110","19,264","3,840","14,391","9,318","5,051","1,036",94,"2,751",-269,-270,-62,-205,"56,006","38,076","36,701","1,367","18,029","11,054","6,975","43,432","17,900","15,364","2,533","25,572","11,158","14,422",-84,"84,072","70,627","1,120,967",67.3,"54,240"
Saskatchewan_2016,"15,723","15,722",1,"183,894","182,385","1,506",,"177,081","175,593","1,488",,"4,572","4,554",21,,"2,238","2,241",0,,"12,918","48,978","34,604","15,507","4,458","2,446","8,605","19,082",828,"13,551","19,229","16,079","3,467","11,760","8,123","3,653",863,66,"3,086","1,118","1,116",581,534,"53,809","36,777","35,276","1,452","17,164","10,320","6,836","40,742","15,917","13,458","2,465","24,993","11,098","13,916",141,"84,006","68,174","1,135,987",68.0,"56,238"
Saskatchewan_2017,"15,606","15,598",8,"187,536","186,024","1,512",,"180,651","179,148","1,506",,"4,521","4,512",9,,"2,364","2,364",0,,,"50,084","35,356","15,833","4,612","2,442","8,780","19,508",831,"13,899","20,031","16,991","3,437","12,691","8,342","4,338",868,64,"2,979",314,324,104,216,"56,392","39,105","37,578","1,492","17,540","10,667","6,871","41,973","16,794","14,418","2,379","25,278","10,751","14,517",57,"86,180","70,083","1,150,331",68.7,"55,602"
Saskatchewan_2018,"15,407","15,405",2,"189,999","188,625","1,374",,"182,655","181,290","1,368",,"4,857","4,854",6,,"2,484","2,484",0,,,"51,087","35,889","15,970","4,552","2,445","8,974","19,901",852,"14,343","19,591","16,749","3,203","12,460","8,403","4,059","1,077",59,"2,788",543,531,429,115,"57,820","39,990","38,363","1,576","18,070","11,189","6,882","42,554","17,195","14,696","2,501","25,429","10,754","14,663",-15,"87,728","70,642","1,161,767",69.7,"56,529"
Saskatchewan_2019,"14,674","14,670",4,"191,994","190,860","1,134",,"183,972","182,844","1,125",,"5,412","5,406",6,,"2,607","2,607",0,,,"51,626","36,210","16,141","4,593","2,444","9,104","20,051",882,"14,531","17,804","15,600","2,820","11,661","8,001","3,671","1,098",51,"2,162","1,328","1,327",789,546,"57,366","39,749","37,888","1,761","17,867","11,042","6,826","41,976","16,316","13,837","2,479","25,853","11,113","14,731",-28,"87,379","69,381","1,172,479",70.7,"59,301"
Saskatchewan_2020,"14,169","14,166",3,"194,367","193,230","1,137",,"186,066","184,941","1,128",,"5,523","5,511",9,,"2,778","2,781",0,,,"49,487","33,947","15,888","4,374","2,278","9,229","18,059",898,"14,606","15,325","13,025","2,954","9,189","5,985","3,185",903,47,"2,260","-1,196","-1,199",274,"-1,366","56,648","40,515","38,854","1,620","16,624","10,301","6,326","38,072","14,696","13,005","1,716","23,578","9,914","13,643",14,"83,208","64,757","1,179,300",71.9,"56,784"
Saskatchewan_2021,"14,509","14,509",0,"192,036","190,884","1,152",,"181,506","180,363","1,140",,"5,871","5,859",12,,"4,662","4,662",0,,,"52,211","35,785","16,883","4,717","2,749","9,431","18,903",938,"15,448","16,080","13,721","3,566","9,162","5,394","3,714","1,023",50,"2,314","-2,398","-2,413","2,139","-3,993","55,762","37,874","36,087","1,701","18,041","11,199","6,847","40,191","16,089","14,007","2,099","24,192","10,432","13,746",-36,"82,494","68,231","1,179,844",72.9,"53,085"
