Area_Year,"1_Live births_Total, Canada and place of residence of mother outside Canada 11 12","1_Live births_Canada, place of residence of mother 11",1_Live births_Place of residence of mother outside Canada 12,"2_Number of students in elementary and secondary schools_Total, school type Total, program type","2_Number of students in elementary and secondary schools_Total, school type Regular programs for youth 5","2_Number of students in elementary and secondary schools_Total, school type General programs for adults 6","2_Number of students in elementary and secondary schools_Total, school type Vocational programs for youth and adults 7","2_Number of students in elementary and secondary schools_Public school Total, program type",2_Number of students in elementary and secondary schools_Public school Regular programs for youth 5,2_Number of students in elementary and secondary schools_Public school General programs for adults 6,2_Number of students in elementary and secondary schools_Public school Vocational programs for youth and adults 7,"2_Number of students in elementary and secondary schools_Priviate school Total, program type",2_Number of students in elementary and secondary schools_Priviate school Regular programs for youth 5,2_Number of students in elementary and secondary schools_Priviate school General programs for adults 6,2_Number of students in elementary and secondary schools_Priviate school Vocational programs for youth and adults 7,"2_Number of students in elementary and secondary schools_Home-schooling Total, program type",2_Number of students in elementary and secondary schools_Home-schooling Regular programs for youth 5,2_Number of students in elementary and secondary schools_Home-schooling General programs for adults 6,2_Number of students in elementary and secondary schools_Home-schooling Vocational programs for youth and adults 7,3_Number of full-time and part-time educators_Northwest Territories,4_Canada_gdp_yearly_Final consumption expenditure,4_Canada_gdp_yearly_Household final consumption expenditure,4_Canada_gdp_yearly_Goods,4_Canada_gdp_yearly_Durable goods,4_Canada_gdp_yearly_Semi-durable goods,4_Canada_gdp_yearly_Non-durable goods,4_Canada_gdp_yearly_Services,4_Canada_gdp_yearly_Non-profit institutions serving households' final consumption expenditure,4_Canada_gdp_yearly_General governments final consumption expenditure,4_Canada_gdp_yearly_Gross fixed capital formation,4_Canada_gdp_yearly_Business gross fixed capital formation,4_Canada_gdp_yearly_Residential structures,"4_Canada_gdp_yearly_Non-residential structures, machinery and equipment",4_Canada_gdp_yearly_Non-residential structures,4_Canada_gdp_yearly_Machinery and equipment,4_Canada_gdp_yearly_Intellectual property products,4_Canada_gdp_yearly_Non-profit institutions serving households' gross fixed capital formation,4_Canada_gdp_yearly_General governments gross fixed capital formation,4_Canada_gdp_yearly_Investment in inventories,4_Canada_gdp_yearly_Of which: business investment in inventories,4_Canada_gdp_yearly_Non-farm,4_Canada_gdp_yearly_Farm,4_Canada_gdp_yearly_Exports of goods and services,4_Canada_gdp_yearly_Exports to other countries,4_Canada_gdp_yearly_Exports of goods to other countries,4_Canada_gdp_yearly_Exports of services to other countries,4_Canada_gdp_yearly_Exports to other provinces,4_Canada_gdp_yearly_Exports of goods to other provinces,4_Canada_gdp_yearly_Exports of services to other provinces,4_Canada_gdp_yearly_Less: imports of goods and services,4_Canada_gdp_yearly_Imports from other countries,4_Canada_gdp_yearly_Imports of goods from other countries,4_Canada_gdp_yearly_Imports of services from other countries,4_Canada_gdp_yearly_Imports from other provinces,4_Canada_gdp_yearly_Imports of goods from other provinces,4_Canada_gdp_yearly_Imports of services from other provinces,4_Canada_gdp_yearly_Statistical discrepancy,4_Canada_gdp_yearly_Gross domestic product at market prices,4_Canada_gdp_yearly_Final domestic demand,6_Estimates of population_Northwest Territories,7_Dependency ratio_Northwest Territories,9_Postsecondary enrolments_Territories
Northwestern_2004,735,735,0,"9,720","9,717",0,0,"9,720","9,717",0,0,,,,,,,,,678,"3,157","1,285",617,115,87,420,668,61,"1,821","1,554","1,338",120,903,663,244,313,0,216,40,40,40,0,"3,496","2,147","2,061",81,"1,343",839,498,"2,867",857,773,82,"1,991",809,"1,182",-7,"5,401","4,725","43,306",58,"1,419"
Northwestern_2005,771,771,0,"9,606","9,606",0,0,"9,609","9,606",0,0,,,,,,,,,669,"3,177","1,316",623,118,91,419,692,66,"1,802","1,818","1,597",95,"1,092",827,278,414,0,218,8,8,8,0,"3,393","2,074","1,986",84,"1,318",699,607,"3,035",923,822,99,"2,087",823,"1,264",-14,"5,346","5,011","43,400",57.7,"1,491"
Northwestern_2006,758,758,0,"9,570","9,573",0,0,"9,570","9,570",0,0,,,,,,,,,672,"3,199","1,356",647,126,97,426,709,61,"1,786","2,116","1,926",59,"1,547","1,400",234,316,0,185,-42,-42,-42,0,"3,393","2,132","2,047",80,"1,256",678,567,"3,278",899,790,107,"2,371",961,"1,409",-13,"5,352","5,335","43,179",56.9,"2,634"
Northwestern_2007,806,806,0,"9,399","9,399",0,0,"9,333","9,333",0,0,0,0,0,0,69,69,0,0,714,"3,238","1,411",679,135,106,439,731,47,"1,781","2,192","1,961",55,"1,369",956,424,546,0,228,-36,-36,-36,0,"3,958","2,648","2,567",79,"1,311",635,667,"3,466",937,816,119,"2,523","1,131","1,392",-6,"5,841","5,451","43,372",55.9,"1,029"
Northwestern_2008,820,820,0,"9,126","9,129",0,0,"9,048","9,048",0,0,,,,,78,78,0,0,720,"3,257","1,447",697,146,107,444,750,49,"1,760","1,754","1,524",52,728,559,186,763,7,222,45,45,45,0,"3,453","2,224","2,119",104,"1,226",554,672,"3,180",862,738,122,"2,313",957,"1,356",1,"5,293","5,024","43,360",55.1,999
Northwestern_2009,804,804,0,"8,826","8,826",0,0,"8,763","8,763",0,0,,,,,63,63,0,0,705,"3,443","1,438",680,139,106,435,758,54,"1,951","1,204",877,71,522,384,144,287,1,325,-19,-19,-19,0,"3,218","2,090","2,000",89,"1,125",509,617,"3,059",754,629,123,"2,314",936,"1,377",0,"4,722","4,647","43,156",54.8,894
Northwestern_2010,766,766,0,"8,634","8,634",0,0,"8,565","8,565",0,0,,,,,72,72,0,0,687,"3,440","1,465",677,137,108,432,789,52,"1,923","1,292",924,66,632,468,170,225,13,355,41,40,40,0,"3,364","2,173","2,079",93,"1,188",544,647,"3,221",874,709,164,"2,346",954,"1,391",-10,"4,843","4,734","43,285",54,"1,041"
Northwestern_2011,751,751,0,"8,634","8,634",,,"8,577","8,577",,,,,,,60,57,,,630,"3,465","1,487",689,141,106,442,797,54,"1,924","1,107",818,62,577,358,219,179,20,271,140,139,139,0,"3,080","2,005","1,918",86,"1,072",405,671,"3,333","1,049",893,157,"2,288",919,"1,368",-10,"4,408","4,571","43,504",53.3,"1,182"
Northwestern_2012,748,747,1,"8,577","8,577",,,"8,511","8,511",,,,,,,63,63,,,672,"3,464","1,504",697,157,110,430,807,53,"1,907","1,299","1,050",70,720,438,282,260,19,230,4,1,1,0,"3,079","1,899","1,807",92,"1,180",492,688,"3,450","1,040",863,177,"2,410","1,017","1,393",-2,"4,394","4,763","43,648",52.5,"4,062"
Northwestern_2013,765,765,0,"8,400","8,400",,,"8,331","8,328",,,,,,,69,72,,,672,"3,512","1,532",711,158,115,438,821,53,"1,927","1,398","1,045",73,793,533,262,179,15,336,46,46,46,0,"3,140","1,834","1,737",96,"1,308",530,778,"3,531","1,348","1,146",203,"2,188",745,"1,442",-1,"4,521","4,910","43,805",51.7,"3,681"
Northwestern_2014,753,752,1,"8,205","8,205",,,"8,175","8,172",,,,,,,30,30,,,666,"3,692","1,553",722,160,117,445,831,59,"2,080","1,462","1,108",83,842,616,226,183,17,339,7,11,11,0,"3,368","2,069","1,965",103,"1,296",494,801,"3,749","1,293","1,064",229,"2,460",787,"1,674",6,"4,735","5,154","43,884",51.1,"3,834"
Northwestern_2015,761,761,0,"8,382","8,382",,,"8,316","8,319",,,,,,,66,66,,,654,"3,701","1,580",732,160,119,453,848,61,"2,060","1,676","1,317",83,"1,081",812,268,153,12,348,49,49,49,0,"3,211","1,974","1,855",119,"1,232",511,728,"3,823","1,286","1,048",238,"2,544",782,"1,761",5,"4,779","5,377","44,237",51.2,"3,993"
Northwestern_2016,720,720,0,"8,367","8,367",,,"8,298","8,301",,,,,,,66,66,,,645,"3,748","1,593",725,161,114,450,867,71,"2,085","1,493","1,125",100,913,705,201,112,10,359,48,46,46,0,"2,970","1,920","1,828",95,"1,030",459,593,"3,538","1,163",969,192,"2,387",740,"1,646",1,"4,712","5,240","44,649",51.2,"3,612"
Northwestern_2017,715,715,0,"8,421","8,421",,,"8,337","8,337",,,,,,,84,84,,,,"3,818","1,632",744,169,117,458,887,74,"2,114","1,068",731,75,547,357,180,107,10,328,44,41,41,0,"3,521","2,729","2,636",105,808,106,617,"3,467","1,157",984,170,"2,319",750,"1,574",-1,"4,873","4,881","44,891",51.3,"3,549"
Northwestern_2018,739,739,0,"8,802","8,799",,,"8,733","8,733",,,,,,,69,69,,,,"3,913","1,659",759,173,121,464,899,74,"2,182","1,021",679,75,477,348,121,123,8,335,17,18,18,0,"3,553","2,711","2,620",103,855,150,630,"3,459","1,175",979,192,"2,291",721,"1,573",3,"4,941","4,928","44,981",52,"3,534"
Northwestern_2019,632,632,0,"8,607","8,604",,,"8,493","8,493",,,,,,,111,111,,,,"3,989","1,665",767,178,122,466,897,84,"2,243",846,549,56,373,216,150,117,7,291,-30,-31,-31,,"3,250","2,141","2,047",99,"1,103",408,679,"3,240","1,122",927,190,"2,121",622,"1,499",-2,"4,750","4,826","45,070",53.1,"4,071"
Northwestern_2020,666,666,0,"8,721","8,721",,,"8,568","8,568",,,,,,,153,153,,,,"4,082","1,650",821,185,138,497,830,88,"2,344",626,363,77,211,129,77,69,8,257,88,90,90,,"2,443","1,596","1,525",75,842,344,499,"3,017","1,086",922,161,"1,925",671,"1,267",2,"4,265","4,694","45,372",53.6,"4,803"
Northwestern_2021,628,628,0,"8,700","8,703",,,"8,520","8,520",,,,,,,180,180,,,,"4,258","1,719",854,193,155,506,865,84,"2,454",689,401,88,201,125,72,104,8,283,-55,-60,-60,,"2,730","1,766","1,695",76,958,402,564,"3,176","1,146",943,199,"2,024",585,"1,442",3,"4,475","4,934","45,504",53.9,"2,307"
