,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
4_Canada_gdp_yearly_Exports to other provinces,835,856,929,861,919,961,957,"1,001","1,013","1,072","1,091","1,080","1,116","1,148","1,084","1,196","1,226","1,201","1,268","1,364","1,393","1,465","1,541","1,497","1,513","1,508","1,599","1,577","1,597","1,609","1,761"
4_Canada_gdp_yearly_Exports of goods to other provinces,283,308,330,302,307,346,357,391,396,436,442,445,468,506,417,486,562,545,567,629,630,687,775,779,754,770,833,807,815,858,918
4_Canada_gdp_yearly_Exports of services to other provinces,589,581,637,597,659,649,629,633,640,651,665,647,658,643,692,726,664,656,703,737,764,778,767,717,761,737,762,768,781,744,839
4_Canada_gdp_yearly_Less: imports of goods and services,"1,778","1,833","1,854","1,901","2,007","2,050","2,209","2,383","2,632","2,837","2,811","2,884","3,007","3,075","3,152","3,309","3,647","3,635","3,496","3,656","3,784","3,679","3,758","3,749","3,837","3,922","4,155","4,232","4,324","4,231","4,624"
4_Canada_gdp_yearly_Imports from other countries,277,320,338,370,388,368,462,539,594,656,668,681,751,766,830,880,969,962,"1,006","1,110","1,165","1,268","1,324","1,299","1,296","1,298","1,383","1,433","1,406","1,259","1,477"
4_Canada_gdp_yearly_Imports of goods from other countries,227,271,285,308,323,299,385,462,507,558,564,565,635,651,717,753,829,826,882,967,"1,021","1,124","1,156","1,132","1,113","1,112","1,215","1,251","1,217","1,118","1,300"
4_Canada_gdp_yearly_Imports of services from other countries,56,52,59,69,71,79,84,82,92,104,111,126,123,120,116,132,144,140,125,145,146,145,167,167,183,186,168,181,187,141,177
4_Canada_gdp_yearly_Imports from other provinces,"1,647","1,642","1,636","1,637","1,734","1,819","1,847","1,922","2,127","2,265","2,214","2,280","2,307","2,366","2,359","2,464","2,716","2,713","2,508","2,553","2,625","2,410","2,436","2,449","2,538","2,622","2,770","2,796","2,920","2,987","3,155"
4_Canada_gdp_yearly_Imports of goods from other provinces,759,750,728,755,829,894,923,915,"1,026","1,136","1,043","1,094","1,104","1,131","1,067","1,083","1,383","1,366","1,173","1,194","1,231","1,107","1,226","1,167","1,213","1,184","1,271","1,264","1,327","1,373","1,464"
4_Canada_gdp_yearly_Imports of services from other provinces,889,893,908,884,908,928,928,"1,009","1,103","1,132","1,174","1,188","1,206","1,238","1,296","1,385","1,336","1,349","1,336","1,359","1,396","1,303","1,212","1,284","1,326","1,439","1,499","1,532","1,592","1,613","1,690"
4_Canada_gdp_yearly_Statistical discrepancy,-77,-55,-76,-16,3,29,9,26,1,-7,-16,24,-6,-12,-25,-4,-3,3,8,-3,2,-10,1,0,-4,-4,-8,7,5,5,3
4_Canada_gdp_yearly_Gross domestic product at market prices,"3,340","3,445","3,495","3,683","3,918","4,044","4,097","4,251","4,435","4,554","4,490","4,705","4,794","4,951","5,122","5,261","5,228","5,284","5,305","5,412","5,527","5,586","5,684","5,690","5,770","5,894","6,170","6,277","6,562","6,454","6,965"
4_Canada_gdp_yearly_Final domestic demand,"4,147","4,041","4,114","4,250","4,378","4,556","4,509","4,639","4,983","5,185","5,326","5,412","5,586","5,721","6,051","6,279","6,444","6,486","6,597","6,724","6,916","6,783","6,864","6,803","6,797","7,024","7,386","7,554","7,843","7,818","8,410"
6_Estimates of population_Prince Edward Island,,,,,,,,,,,"136,665","136,880","137,227","137,680","138,064","137,867","137,711","138,749","139,891","141,654","143,963","144,530","144,094","144,283","144,546","146,969","150,402","153,396","157,419","161,329","164,318"
7_Dependency ratio_Prince Edward Island,,,,,,,,,,,68.5,67.4,66.4,65.5,64.7,64.2,64.1,64.0,63.8,63.5,63.4,64.0,65.3,66.8,67.9,68.7,69.0,69.5,69.6,69.3,68.6
9_Postsecondary enrolments_Prince Edward Island,,,"4,563","4,812","4,326","4,218","4,155","4,629","4,860","5,070","5,046","5,373","5,601","6,096","5,790","5,874","6,045","6,132","7,104","5,841","6,126","6,564","6,603","6,015","6,390","6,360","6,189","8,037","7,455","8,505","8,616"
