,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
3_Number of full-time and part-time educators_Nova Scotia,,,,,,,,,,,,"9,591","9,615","9,579","9,708","9,918","9,972","10,062","10,071","9,744","9,501","9,207","8,913","9,150","9,030","9,333",,,,,
4_Canada_gdp_yearly_Final consumption expenditure,"27,872","28,174","28,663","28,778","28,873","28,947","29,383","30,299","31,259","31,740","31,960","33,092","33,773","34,314","35,040","35,895","37,065","38,166","38,474","39,425","40,256","40,776","40,940","41,319","41,624","41,988","42,978","43,727","44,321","43,254","45,645"
4_Canada_gdp_yearly_Household final consumption expenditure,"16,395","16,732","17,006","17,316","17,606","18,018","18,618","19,162","19,937","20,446","20,661","21,511","22,011","22,578","23,111","23,724","24,512","25,220","25,599","26,255","26,731","27,055","27,552","27,853","28,025","28,256","29,003","29,409","29,847","28,494","30,218"
4_Canada_gdp_yearly_Goods,"8,603","8,665","8,839","8,915","8,960","9,072","9,344","9,681","10,136","10,398","10,458","10,920","11,144","11,357","11,515","11,703","12,084","12,514","12,843","13,031","13,161","13,172","13,466","13,614","13,664","13,717","14,171","14,232","14,398","14,102","15,130"
4_Canada_gdp_yearly_Durable goods,"1,345","1,370","1,406","1,419","1,398","1,449","1,617","1,730","1,866","1,975","1,983","2,163","2,241","2,330","2,414","2,539","2,690","2,880","2,930","3,027","3,026","3,119","3,338","3,406","3,487","3,565","3,831","3,728","3,743","3,581","4,052"
4_Canada_gdp_yearly_Semi-durable goods,940,933,959,964,"1,002","1,022","1,025","1,086","1,132","1,162","1,185","1,279","1,321","1,364","1,404","1,513","1,580","1,638","1,709","1,767","1,773","1,804","1,833","1,870","1,893","1,882","1,930","1,949","1,973","1,852","2,146"
4_Canada_gdp_yearly_Non-durable goods,"6,728","6,777","6,885","6,950","6,971","6,989","7,028","7,148","7,401","7,492","7,514","7,640","7,725","7,783","7,793","7,699","7,841","8,006","8,214","8,236","8,364","8,249","8,295","8,340","8,286","8,270","8,403","8,552","8,679","8,670","8,930"
4_Canada_gdp_yearly_Services,"7,787","8,069","8,168","8,404","8,649","8,948","9,276","9,484","9,805","10,052","10,206","10,596","10,870","11,224","11,600","12,025","12,432","12,711","12,764","13,226","13,571","13,883","14,087","14,240","14,360","14,535","14,833","15,172","15,443","14,405","15,109"
4_Canada_gdp_yearly_Non-profit institutions serving households' final consumption expenditure,329,320,326,315,337,404,419,437,534,574,538,624,626,582,589,610,573,608,576,536,605,604,595,598,626,672,663,685,705,730,735
4_Canada_gdp_yearly_General governments final consumption expenditure,"11,492","11,435","11,653","11,423","11,155","10,673","10,434","10,798","10,864","10,773","10,801","10,990","11,164","11,159","11,341","11,559","11,981","12,338","12,298","12,635","12,920","13,117","12,798","12,874","12,978","13,063","13,318","13,636","13,773","14,002","14,671"
4_Canada_gdp_yearly_Gross fixed capital formation,"5,055","4,402","4,431","4,495","4,368","4,390","5,371","5,734","6,844","6,329","6,596","6,836","6,855","6,879","7,088","7,158","7,401","6,905","7,669","8,709","8,414","7,484","7,784","7,373","7,382","7,938","7,938","8,349","8,979","8,704","9,492"
4_Canada_gdp_yearly_Business gross fixed capital formation,"3,457","2,785","2,698","2,923","2,834","3,161","4,184","4,677","5,754","4,995","5,213","5,345","5,300","5,380","5,492","5,555","5,768","5,313","5,526","6,487","6,379","5,368","5,660","5,510","5,656","6,278","6,040","5,828","6,074","5,696","6,324"
4_Canada_gdp_yearly_Residential structures,"1,373","1,374","1,449","1,464","1,428","1,503","1,529","1,346","1,597","1,768","1,866","2,004","2,197","2,376","2,449","2,540","2,578","2,490","2,330","2,596","2,656","2,711","2,698","2,356","2,482","2,619","2,729","2,872","3,177","3,258","3,676"
"4_Canada_gdp_yearly_Non-residential structures, machinery and equipment","1,912","1,357","1,213","1,359","1,313","1,524","2,383","2,826","3,443","2,561","2,549","2,609","2,506","2,511","2,709","2,726","2,795","2,497","2,869","3,519","3,412","2,382","2,680","2,701","2,652","2,856","2,882","2,230","2,369","1,919","2,092"
4_Canada_gdp_yearly_Non-residential structures,"1,418","1,104",798,630,762,803,847,"2,339","3,038","1,514","1,495","1,372","1,520","1,500","1,390","1,395","1,124","1,116","1,626","1,867","1,226","1,077",990,"1,040","1,180","1,298","1,477","1,016","1,104",902,"1,003"
4_Canada_gdp_yearly_Machinery and equipment,728,474,505,679,589,720,"1,315",945,"1,062","1,162","1,162","1,269","1,115","1,130","1,358","1,369","1,626","1,363","1,285","1,685","2,183","1,305","1,692","1,663","1,483","1,572","1,431","1,229","1,282","1,031","1,103"
4_Canada_gdp_yearly_Intellectual property products,111,109,137,175,169,187,173,285,441,583,739,687,598,517,345,307,414,349,331,366,307,275,282,450,523,805,425,744,539,530,562
4_Canada_gdp_yearly_Non-profit institutions serving households' gross fixed capital formation,43,45,44,47,45,45,34,18,35,33,35,41,40,23,56,61,28,41,34,54,54,57,55,44,39,29,38,36,31,30,36
4_Canada_gdp_yearly_General governments gross fixed capital formation,"1,621","1,655","1,784","1,597","1,559","1,213","1,150","1,019","1,012","1,287","1,332","1,438","1,508","1,464","1,530","1,530","1,593","1,542","2,121","2,170","1,979","2,059","2,069","1,820","1,691","1,641","1,864","2,474","2,860","2,966","3,112"
4_Canada_gdp_yearly_Investment in inventories,-40,40,40,-88,75,-100,174,-40,291,224,183,36,194,149,218,92,79,136,-161,76,399,159,186,38,188,145,221,86,263,-539,125
4_Canada_gdp_yearly_Of which: business investment in inventories,-38,40,40,-88,74,-100,173,-39,291,223,184,37,193,149,218,93,77,126,-142,56,396,54,200,104,155,150,254,71,247,-552,77
4_Canada_gdp_yearly_Non-farm,-31,38,38,-80,72,-105,171,-39,296,225,180,48,186,153,213,95,76,142,-142,62,388,59,213,105,160,143,250,54,206,-582,63
4_Canada_gdp_yearly_Farm,-11,4,1,-9,2,10,1,0,-10,-5,3,-16,8,-7,4,-4,2,-19,0,-7,8,-5,-14,-2,-5,7,4,17,39,30,15
4_Canada_gdp_yearly_Exports of goods and services,"8,654","9,182","9,433","9,442","9,673","10,558","11,669","11,979","12,468","13,650","14,401","15,338","15,529","16,021","15,813","15,442","16,308","15,735","14,725","15,422","15,187","15,171","15,082","14,381","14,098","13,722","14,171","14,215","15,081","13,756","14,121"
4_Canada_gdp_yearly_Exports to other countries,"3,729","3,968","4,171","4,200","4,179","4,883","5,590","5,771","6,024","6,863","7,011","7,748","7,491","7,968","7,723","7,261","7,974","7,435","6,983","7,530","7,133","7,226","7,031","6,788","6,674","6,670","6,793","6,940","7,678","6,494","6,814"
4_Canada_gdp_yearly_Exports of goods to other countries,"3,114","3,306","3,437","3,369","3,316","3,901","4,481","4,645","4,889","5,608","5,756","6,355","6,173","6,486","6,209","5,808","6,483","6,043","5,551","6,039","5,701","5,725","5,406","5,021","4,824","4,642","4,739","4,822","5,295","4,591","4,883"
4_Canada_gdp_yearly_Exports of services to other countries,577,624,707,838,887,997,"1,120","1,133","1,128","1,234","1,223","1,361","1,280","1,461","1,513","1,458","1,480","1,382","1,433","1,491","1,431","1,501","1,626","1,777","1,870","2,069","2,094","2,161","2,435","1,935","1,955"
4_Canada_gdp_yearly_Exports to other provinces,"5,065","5,359","5,387","5,360","5,656","5,731","6,079","6,195","6,426","6,693","7,364","7,498","8,014","7,984","8,047","8,184","8,309","8,297","7,739","7,897","8,056","7,945","8,047","7,593","7,423","7,049","7,376","7,269","7,382","7,269","7,306"
4_Canada_gdp_yearly_Exports of goods to other provinces,"2,506","2,744","2,718","2,659","2,928","2,986","3,078","3,080","3,320","3,412","3,879","4,131","4,527","4,433","4,421","4,351","4,384","4,192","3,845","3,951","4,014","4,036","4,165","3,428","3,282","3,032","3,193","3,073","3,077","3,362","3,023"
4_Canada_gdp_yearly_Exports of services to other provinces,"2,543","2,605","2,658","2,688","2,714","2,729","2,990","3,104","3,095","3,272","3,465","3,335","3,444","3,516","3,595","3,821","3,912","4,102","3,894","3,945","4,041","3,909","3,882","4,172","4,153","4,037","4,202","4,222","4,336","3,901","4,331"
4_Canada_gdp_yearly_Less: imports of goods and services,"14,624","14,322","14,869","15,254","15,301","16,096","17,697","18,087","19,583","19,846","20,086","20,916","21,591","22,360","22,736","22,706","24,604","23,948","23,596","25,524","25,934","25,624","26,242","24,917","24,805","24,758","25,488","25,811","26,748","24,762","26,414"
4_Canada_gdp_yearly_Imports from other countries,"5,476","5,425","5,901","6,132","6,223","6,960","8,225","8,414","9,289","9,363","9,558","9,822","10,028","10,330","10,803","10,754","11,877","11,639","11,247","12,117","12,287","12,546","13,025","12,167","12,189","11,618","12,260","12,323","12,564","11,367","12,343"
4_Canada_gdp_yearly_Imports of goods from other countries,"4,921","4,867","5,288","5,455","5,476","6,256","7,515","7,597","8,470","8,474","8,641","8,904","8,937","9,186","9,594","9,607","10,562","10,370","10,074","10,725","10,871","11,075","11,473","10,541","10,598","10,039","10,718","10,718","10,928","10,030","10,996"
4_Canada_gdp_yearly_Imports of services from other countries,571,576,634,701,777,726,726,836,840,910,937,939,"1,097","1,149","1,213","1,153","1,318","1,272","1,178","1,390","1,415","1,472","1,552","1,620","1,585","1,574","1,540","1,600","1,631","1,346","1,368"
4_Canada_gdp_yearly_Imports from other provinces,"9,423","9,157","9,189","9,333","9,274","9,257","9,494","9,693","10,285","10,484","10,514","11,108","11,600","12,073","11,949","11,971","12,738","12,316","12,367","13,425","13,671","13,077","13,220","12,746","12,613","13,149","13,227","13,490","14,194","13,415","14,092"
4_Canada_gdp_yearly_Imports of goods from other provinces,"4,986","4,614","4,486","4,904","4,777","4,728","4,824","4,726","4,863","5,117","5,199","5,572","5,909","6,059","5,619","5,565","6,215","5,762","5,765","6,151","6,209","5,913","5,873","5,050","4,985","5,095","5,089","5,175","5,611","5,206","5,687"
4_Canada_gdp_yearly_Imports of services from other provinces,"4,449","4,536","4,694","4,419","4,490","4,525","4,666","4,968","5,425","5,365","5,308","5,526","5,676","6,004","6,339","6,418","6,525","6,558","6,605","7,276","7,461","7,164","7,348","7,717","7,649","8,075","8,160","8,337","8,599","8,225","8,413"
4_Canada_gdp_yearly_Statistical discrepancy,103,-83,-150,192,123,129,-178,-46,-53,36,-20,96,72,91,73,-58,-19,-6,32,-25,-17,-33,-7,-7,-8,23,2,9,7,12,-9
4_Canada_gdp_yearly_Gross domestic product at market prices,"26,591","26,927","27,073","27,040","27,365","27,388","28,496","29,558","31,116","32,041","33,008","34,432","34,803","35,071","35,469","35,741","36,199","36,915","37,047","38,052","38,303","37,933","37,806","38,173","38,429","39,038","39,757","40,502","41,889","40,433","42,927"
4_Canada_gdp_yearly_Final domestic demand,"32,828","32,381","32,888","33,074","33,021","33,118","34,649","35,950","38,132","38,034","38,540","39,912","40,603","41,163","42,101","43,022","44,433","45,017","46,117","48,137","48,669","48,260","48,723","48,691","49,005","49,944","50,927","52,098","53,343","51,997","55,195"
6_Estimates of population_Nova Scotia,,,,,,,,,,,"932,494","935,179","937,717","939,664","937,926","937,882","935,115","935,897","938,208","942,107","944,274","943,635","940,434","938,545","936,525","942,790","950,108","958,406","970,243","981,889","992,055"
7_Dependency ratio_Nova Scotia,,,,,,,,,,,62.0,61.3,60.7,60.1,59.6,59.4,59.3,59.4,59.3,58.9,58.9,60.0,61.1,62.2,63.4,64.5,65.4,66.2,67.0,67.7,68.2
9_Postsecondary enrolments_Nova Scotia,,,"41,175","41,214","40,248","43,725","44,076","44,784","44,604","45,069","46,164","51,867","50,886","53,469","52,575","52,743","52,266","50,748","50,787","52,083","54,522","55,065","54,951","55,617","55,197","54,825","54,966","53,484","54,495","57,033","56,841"
