Estimates,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Residential structures,"11,010","13,535","13,875","13,955","12,270","12,459","13,071","11,314","10,499","10,563","11,629","13,554","14,601","17,112","18,352","19,671","20,099","19,096","17,460","17,494","17,987","19,282","19,396","20,558","22,528","25,916","25,970","25,551","24,876","25,691","29,447"
"Non-residential structures, machinery and equipment","10,147","9,067","8,591","10,044","10,582","10,164","12,230","11,521","12,054","12,463","13,121","12,552","13,100","14,586","16,368","19,193","19,440","20,991","17,469","19,425","21,237","22,749","21,802","23,888","20,938","20,462","22,382","22,998","29,450","29,243","30,764"
Non-residential structures,"7,890","6,166","5,649","6,879","7,541","6,661","8,876","6,781","7,527","7,289","8,404","7,875","8,599","9,487","9,974","11,813","11,191","12,832","11,376","12,170","13,734","14,937","14,618","16,070","14,103","12,661","14,297","14,310","19,758","21,428","22,514"
Machinery and equipment,"3,191","3,185","3,091","3,510","3,587","3,675","4,066","4,496","4,517","4,897","4,811","4,681","4,693","5,274","6,342","7,355","8,044","8,067","6,129","7,237","7,500","7,812","7,182","7,814","6,832","7,744","8,036","8,633","9,641","7,804","8,240"
Intellectual property products,"1,231","1,229","1,603","2,315","1,825","1,841","1,946","2,408","2,077","2,513","3,164","2,704","3,238","3,697","3,941","4,181","4,863","5,102","4,188","4,611","4,657","4,134","4,243","4,030","3,367","3,420","3,580","4,224","4,900","4,784","5,143"
Non-profit institutions serving households' gross fixed capital formation,140,161,184,155,187,173,221,126,146,170,186,246,218,137,356,366,234,504,317,240,247,280,369,403,395,329,326,347,333,323,315
General governments gross fixed capital formation,"4,626","4,638","4,728","5,438","5,053","5,434","4,729","4,532","5,332","5,403","5,458","5,212","5,443","6,299","7,517","7,778","8,093","8,551","8,571","9,222","7,334","8,041","7,339","7,817","7,694","7,859","8,520","9,579","9,663","10,033","11,603"
Investment in inventories,-412,-406,317,707,602,198,903,256,"1,033","2,132",-399,572,671,741,"1,311","1,419","1,349",84,-953,-946,742,600,"1,082",826,184,-105,"1,638","2,810","2,486",-318,"1,683"
Of which: business investment in inventories,-408,-406,315,707,600,200,903,257,"1,033","2,129",-399,576,669,743,"1,312","1,421","1,348",76,-952,-942,719,522,"1,070",883,156,-106,"1,612","2,776","2,463",-329,"1,670"
Non-farm,-415,-411,285,660,570,205,909,209,"1,025","2,143",-475,588,628,741,"1,308","1,433","1,347",174,-985,-863,564,500,"1,157",856,101,-174,"1,668","2,208","1,990",-752,"1,692"
Farm,25,18,45,62,35,-17,-43,81,-18,-73,128,-32,52,-29,-48,-68,-29,-136,58,-92,171,22,-81,27,46,55,-35,419,470,440,-8
Exports of goods and services,"43,018","45,157","46,950","50,039","53,082","53,351","55,463","56,944","61,911","67,308","66,794","67,270","69,226","72,828","76,457","79,417","81,168","78,546","73,286","79,025","82,874","85,442","88,297","94,851","94,041","97,054","99,738","103,531","105,851","95,976","99,016"
Exports to other countries,"28,551","28,645","30,141","33,271","36,338","35,915","37,039","37,832","41,159","44,273","42,375","43,261","43,996","46,322","48,449","49,220","48,877","46,555","41,295","46,032","47,491","49,179","51,865","55,806","56,639","58,311","60,395","62,836","64,310","55,097","58,074"
Exports of goods to other countries,"22,189","22,089","22,911","25,031","27,011","27,061","27,536","27,496","30,534","32,625","30,784","31,291","31,808","33,464","34,976","35,331","34,914","33,552","28,058","31,700","33,180","34,647","36,895","39,096","39,637","40,780","41,307","42,326","41,271","37,716","40,026"
Exports of services to other countries,"5,649","5,873","6,599","7,638","8,819","8,186","8,970","10,036","10,078","11,150","11,315","11,739","11,955","12,619","13,231","13,699","13,816","12,798","13,335","14,396","14,326","14,531","14,974","16,711","17,002","17,530","19,083","20,537","23,131","17,465","18,112"
Exports to other provinces,"14,168","16,268","16,509","16,199","15,852","16,700","17,723","18,430","20,004","22,326","24,124","23,591","24,859","26,112","27,611","29,892","32,113","31,875","32,015","32,977","35,389","36,263","36,434","39,048","37,419","38,766","39,310","40,637","41,473","41,250","41,081"
Exports of goods to other provinces,"4,164","5,405","5,295","5,492","5,256","6,149","6,484","6,711","7,745","9,409","10,677","10,633","11,354","11,635","11,872","12,531","13,725","13,221","12,388","12,157","13,116","13,701","13,612","13,943","13,153","12,922","12,589","13,380","13,027","15,353","13,677"
Exports of services to other provinces,"10,201","11,021","11,403","10,837","10,749","10,576","11,274","11,760","12,229","12,743","13,153","12,636","13,141","14,157","15,509","17,193","18,152","18,498","19,595","20,828","22,278","22,562","22,822","25,146","24,313","25,885","26,748","27,292","28,469","26,013","27,554"
Less: imports of goods and services,"47,386","49,588","49,290","57,258","57,974","57,506","61,586","60,891","64,595","69,598","69,764","69,848","73,588","79,354","84,079","90,710","95,697","96,459","89,411","97,377","100,829","104,682","105,680","111,054","109,916","115,448","121,506","125,933","131,208","123,432","136,118"
Imports from other countries,"20,299","22,244","23,269","26,914","27,006","27,468","30,296","30,265","32,196","34,710","33,514","33,973","35,938","39,297","42,789","47,081","50,363","51,878","45,582","52,037","55,500","58,732","58,629","61,786","62,081","65,893","68,262","70,862","73,391","67,146","74,980"
Imports of goods from other countries,"15,893","17,752","18,605","21,714","21,736","22,015","24,726","24,904","26,554","28,938","27,595","28,128","29,404","32,204","35,264","38,771","41,706","42,912","36,767","42,271","45,024","47,586","46,891","49,574","49,561","52,808","55,880","58,109","59,584","57,624","66,525"
Imports of services from other countries,"4,607","4,615","4,783","5,284","5,369","5,580","5,612","5,365","5,639","5,733","5,920","5,837","6,537","7,097","7,527","8,312","8,661","8,969","8,812","9,767","10,476","11,146","11,729","12,206","12,515","13,075","12,409","12,789","13,790","9,859","9,070"
Imports from other provinces,"28,520","28,498","26,703","31,187","31,938","30,703","31,645","30,843","32,593","35,093","36,940","36,401","38,153","40,472","41,514","43,750","45,392","44,556","44,022","45,381","45,333","45,950","47,049","49,261","47,749","49,393","53,172","54,984","57,771","56,462","61,247"
Imports of goods from other provinces,"15,839","15,346","13,791","17,567","17,623","16,152","16,383","14,359","15,005","15,744","17,116","16,704","18,213","19,200","19,017","19,846","21,621","20,379","19,427","18,984","18,984","19,417","18,783","17,366","16,871","18,125","19,154","20,201","21,116","20,746","21,865"
Imports of services from other provinces,"12,854","13,256","12,946","13,789","14,469","14,674","15,381","16,497","17,590","19,343","19,803","19,679","19,907","21,240","22,493","23,913","23,742","24,176","24,609","26,398","26,350","26,533","28,265","31,969","30,949","31,334","34,092","34,843","36,724","35,781","39,506"
Statistical discrepancy,-353,"-1,348","-1,872",-16,755,90,-124,569,201,48,-19,132,109,5,-155,-84,-299,-213,-131,-137,-108,-6,162,-38,-129,199,-76,-57,144,-56,10
Gross domestic product at market prices,"126,535","130,049","136,155","139,733","143,402","147,052","151,968","153,811","159,162","166,405","167,541","174,214","178,240","185,250","194,460","203,053","209,419","210,903","205,878","211,749","218,203","223,329","228,310","236,696","241,509","248,262","257,724","266,882","273,941","265,831","282,111"
Final domestic demand,"131,680","136,186","139,480","146,042","146,436","150,523","156,828","156,401","159,552","164,808","170,262","175,025","180,892","190,151","199,896","212,006","221,950","228,456","222,820","231,029","235,419","241,975","244,269","251,975","257,194","266,460","277,778","286,780","297,493","294,349","318,273"
