Estimates,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
"Non-residential structures, machinery and equipment","13,772","13,053","14,915","18,306","18,690","19,603","25,406","27,509","26,542","31,433","34,285","33,415","38,003","42,867","53,068","59,775","61,862","65,441","43,630","55,368","65,347","73,706","85,186","90,006","66,040","50,267","49,794","50,181","47,139","36,980","38,640"
Non-residential structures,"12,891","10,742","13,372","18,015","17,980","17,436","22,922","21,227","20,785","24,640","26,541","24,794","27,277","30,798","37,527","40,534","42,475","46,429","27,866","39,553","47,393","53,823","63,734","67,683","49,458","37,866","37,379","35,940","33,187","25,629","27,538"
Machinery and equipment,"2,763","3,181","3,223","3,366","3,588","4,291","5,437","7,313","6,929","8,195","9,086","9,329","11,046","12,444","15,758","18,911","19,172","19,039","15,261","15,775","17,949","19,883","21,432","22,294","16,558","12,395","12,401","14,130","13,811","11,205","10,988"
Intellectual property products,"2,196","1,944","2,765","3,805","4,203","4,206","5,655","7,412","5,943","7,659","8,598","6,920","7,209","7,835","9,903","9,882","8,390","7,423","5,431","6,845","7,865","8,812","8,691","8,662","5,926","4,680","5,404","5,719","5,650","4,983","4,697"
Non-profit institutions serving households' gross fixed capital formation,114,134,149,135,173,165,205,149,172,176,201,240,215,128,321,352,279,391,324,441,435,480,459,589,527,310,320,309,242,230,251
General governments gross fixed capital formation,"4,264","4,124","3,921","3,533","3,195","3,309","3,234","3,626","4,114","4,759","5,971","6,265","5,675","6,071","7,076","8,398","9,856","10,892","11,047","12,401","12,026","12,073","11,343","10,396","11,372","11,818","11,761","10,467","9,546","10,260","9,602"
Investment in inventories,657,"-1,343",759,-244,"1,393",-106,"1,792",26,995,"1,276","-1,922","-2,524","1,640",669,"2,961","1,835","-1,393",-796,"-2,097",322,"1,362",577,"2,048",852,"-1,815","-1,080","2,006",544,"2,130","-3,787","-2,127"
Of which: business investment in inventories,649,"-1,316",743,-240,"1,364",-102,"1,755",26,973,"1,247","-1,882","-2,470","1,604",656,"2,898","1,799","-1,369",-746,"-1,346",285,"1,357",504,"2,078",851,"-1,847","-1,049","2,020",511,"2,133","-3,781","-2,239"
Non-farm,318,-779,-142,-277,753,-20,"1,420",-202,385,990,"-1,319","-1,180",422,72,"2,038","1,823",-788,"-1,086",-670,-111,"1,211",609,757,"1,015","-2,065","-1,358","1,718",582,"2,230","-3,690",-468
Farm,425,-614,"1,288",108,701,-113,166,389,781,158,-526,"-1,561","1,723",962,777,-531,-655,595,-779,511,101,-105,"1,281",-108,88,224,330,-58,-79,-137,"-1,709"
Exports of goods and services,"69,081","74,451","80,334","85,934","90,716","99,018","104,276","110,817","113,727","123,903","123,995","125,135","126,128","134,562","134,045","143,920","147,734","145,123","143,880","147,441","158,195","164,149","173,928","186,783","184,814","184,137","194,464","207,617","209,703","198,641","206,019"
Exports to other countries,"37,059","43,449","46,339","50,808","56,012","60,040","64,921","72,017","73,036","79,429","80,748","80,080","78,213","86,128","86,751","92,967","93,804","93,973","84,236","88,163","98,001","102,896","108,910","119,479","121,711","119,411","126,527","135,457","139,702","133,890","138,743"
Exports of goods to other countries,"35,729","41,752","44,713","49,005","54,034","57,601","61,893","67,397","67,470","74,268","74,993","73,688","71,787","79,412","80,317","86,055","87,066","87,287","77,489","82,186","92,027","96,585","102,108","111,894","113,929","111,536","118,565","127,304","130,171","127,669","131,433"
Exports of services to other countries,"1,777","2,172","2,197","2,422","2,664","3,074","3,603","4,829","5,475","5,264","5,810","6,345","6,355","6,657","6,359","6,835","6,640","6,577","6,712","5,987","5,973","6,310","6,803","7,592","7,782","7,804","7,999","8,280","9,411","7,057","7,915"
Exports to other provinces,"31,003","30,474","33,344","34,584","34,423","38,564","39,021","38,720","40,529","44,293","43,056","44,849","47,675","48,173","47,005","50,651","53,639","50,740","59,529","59,224","60,195","61,253","65,017","67,299","63,467","64,699","67,986","72,267","70,476","65,470","67,972"
Exports of goods to other provinces,"20,000","19,758","22,091","23,494","23,317","27,955","26,418","23,746","25,194","27,380","25,282","26,238","29,042","28,029","26,245","27,692","31,269","27,878","31,692","31,490","32,120","32,598","36,137","34,599","33,746","35,467","37,677","41,497","39,360","38,517","38,409"
Exports of services to other provinces,"10,601","10,347","10,962","10,915","10,919","10,721","12,400","14,241","14,641","16,148","17,122","17,931","17,843","19,571","20,521","22,909","21,788","22,772","27,840","27,739","28,074","28,656","28,841","32,953","29,901","29,499","30,623","31,186","31,466","27,545","30,068"
Less: imports of goods and services,"41,821","42,262","43,932","46,050","47,988","51,638","60,680","63,903","66,201","75,890","78,411","78,775","84,360","90,432","102,250","113,553","119,961","120,072","107,920","122,224","132,305","142,790","156,033","159,938","143,811","136,565","140,741","147,318","144,968","134,000","139,342"
Imports from other countries,"15,336","15,694","17,074","17,329","18,376","21,623","27,689","30,396","30,945","36,448","36,998","37,210","40,352","44,284","52,271","59,887","63,544","64,678","54,641","64,939","69,451","78,388","83,542","84,556","76,424","71,485","74,864","78,728","76,647","67,731","72,070"
Imports of goods from other countries,"12,188","12,522","13,661","13,607","14,556","17,393","23,004","25,771","26,357","31,486","31,820","31,921","34,568","38,124","45,479","52,414","56,035","56,922","47,050","55,335","59,055","66,764","70,042","70,380","63,255","58,252","61,731","64,303","61,544","55,931","59,773"
Imports of services from other countries,"3,361","3,376","3,624","4,013","4,090","4,477","4,836","4,692","4,637","4,963","5,195","5,313","5,812","6,184","6,809","7,489","7,532","7,777","7,603","9,605","10,395","11,624","13,487","14,158","13,164","13,264","13,160","14,437","15,074","11,875","12,394"
Imports from other provinces,"28,159","28,211","28,340","30,471","31,319","31,227","33,727","33,895","35,835","39,812","41,993","42,134","44,484","46,472","50,060","53,589","56,316","55,232","53,415","57,288","62,856","64,402","72,498","75,427","67,395","65,196","65,874","68,547","68,382","66,768","67,605"
Imports of goods from other provinces,"13,200","12,731","12,652","14,711","15,219","14,729","16,089","15,470","16,403","18,193","19,845","19,703","21,361","21,730","22,681","24,143","27,089","25,243","23,963","25,093","27,343","26,908","29,939","28,458","24,857","23,450","22,306","23,801","23,181","24,405","23,548"
Imports of services from other provinces,"14,895","15,420","15,635","15,624","15,950","16,402","17,512","18,375","19,373","21,555","21,985","22,297","22,910","24,595","27,320","29,402","28,993","29,911","29,417","32,181","35,502","37,494","42,561","47,104","42,694","41,909","43,749","44,920","45,394","42,522","44,290"
Statistical discrepancy,999,-156,-53,"1,540","1,116",350,546,46,225,187,-121,-81,412,399,76,449,-299,-108,-210,-343,-305,-304,-94,-63,-156,275,-228,79,-88,-6,-88
Gross domestic product at market prices,"150,229","151,229","162,978","172,000","177,278","181,537","193,931","203,479","206,002","218,678","222,271","227,363","235,234","248,322","259,282","275,756","280,600","285,125","269,322","282,702","300,948","312,708","330,548","350,033","337,069","325,421","340,062","347,593","348,005","320,302","335,550"
Final domestic demand,"112,838","113,262","117,252","122,500","123,489","127,185","141,802","150,627","151,918","165,298","175,656","180,089","187,935","199,624","222,857","241,597","252,928","260,091","234,339","257,217","273,737","291,076","310,267","321,825","297,615","279,292","285,508","289,117","283,682","263,217","274,634"
