Estimates,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Machinery and equipment,537,640,573,436,525,608,634,830,900,989,870,864,900,"1,195","1,310","1,461","1,367","1,418","1,347","1,453","1,633","1,265","1,353","1,314","1,389","1,090","1,284","1,476","1,300","1,006","1,088"
Intellectual property products,106,110,128,166,173,199,184,203,205,210,232,242,204,289,337,369,442,388,327,344,357,311,288,321,278,312,363,404,412,422,439
Non-profit institutions serving households' gross fixed capital formation,23,22,20,26,22,26,23,15,22,23,26,31,27,16,42,43,29,33,35,46,47,57,22,32,26,21,16,19,25,23,28
General governments gross fixed capital formation,"1,089","1,057","1,151","1,108","1,240","1,200","1,038","1,058","1,267","1,173","1,070","1,024","1,061","1,183","1,308","1,428","1,977","1,378","1,393","1,772","2,228","1,674","1,408","1,472","1,354","1,537","1,648","1,726","1,284","1,434","1,437"
Investment in inventories,-33,-138,-7,-22,-3,-5,229,-2,335,393,99,8,89,66,53,173,-56,16,-18,232,214,171,83,163,51,273,176,216,292,-538,-768
Of which: business investment in inventories,-33,-138,-8,-22,-3,-5,229,-1,335,393,99,10,88,66,52,175,-57,23,-19,235,212,128,90,190,32,270,193,208,293,-536,-809
Non-farm,-26,-149,9,-14,-8,-13,213,1,336,371,101,-5,89,73,41,148,-36,44,-22,223,255,88,86,177,11,266,186,214,260,-586,-744
Farm,-12,35,-34,-15,12,19,17,-4,-20,21,-8,25,-9,-19,20,40,-30,-28,4,13,-47,40,4,13,21,5,8,-4,31,39,-62
Exports of goods and services,"13,699","14,826","15,558","16,682","17,647","18,292","18,666","19,751","20,942","21,610","24,330","25,541","26,322","26,913","27,025","26,103","26,644","25,532","25,088","26,543","26,254","26,110","26,036","25,756","25,072","24,516","25,668","24,314","24,831","23,845","24,862"
Exports to other countries,"6,609","7,376","7,728","8,021","8,680","9,311","9,820","10,509","11,264","12,169","14,055","15,155","15,663","16,270","16,471","15,544","15,652","15,250","14,708","15,401","14,146","14,970","15,265","15,135","14,785","13,808","14,587","13,342","13,878","13,184","14,242"
Exports of goods to other countries,"6,321","7,030","7,272","7,468","8,110","8,606","8,940","9,560","10,211","11,161","12,965","13,898","14,388","15,078","15,183","14,316","14,336","13,938","13,713","14,427","13,136","13,927","14,162","13,873","13,606","12,610","13,339","12,113","12,509","12,080","13,057"
Exports of services to other countries,342,398,484,561,585,704,853,920,"1,011",989,"1,082","1,231","1,255","1,201","1,282","1,221","1,301","1,295",992,978,"1,011","1,043","1,103","1,264","1,183","1,185","1,238","1,210","1,340","1,109","1,193"
Exports to other provinces,"7,279","7,644","8,033","8,896","9,200","9,195","9,035","9,435","9,878","9,604","10,415","10,492","10,765","10,740","10,648","10,643","11,064","10,370","10,436","11,183","12,125","11,141","10,776","10,627","10,299","10,630","11,015","10,867","10,867","10,557","10,574"
Exports of goods to other provinces,"4,581","4,823","5,145","5,824","6,065","5,909","5,803","5,947","6,128","5,712","6,362","6,307","6,627","6,434","6,046","5,680","6,773","6,110","5,830","6,569","7,366","6,570","6,286","5,573","5,680","5,886","6,242","6,173","6,385","5,870","6,082"
Exports of services to other provinces,"2,624","2,745","2,811","2,990","3,048","3,212","3,161","3,417","3,680","3,844","3,982","4,120","4,060","4,250","4,620","5,100","4,256","4,243","4,601","4,614","4,751","4,571","4,492","5,098","4,640","4,765","4,792","4,712","4,483","4,701","4,485"
Less: imports of goods and services,"16,554","16,975","17,550","17,979","18,646","19,465","20,157","21,364","23,467","24,044","24,956","25,357","26,417","27,236","28,117","28,756","30,388","30,070","29,471","31,622","31,739","31,053","30,836","30,730","30,121","30,091","31,845","31,167","31,313","30,095","30,769"
Imports from other countries,"6,648","7,400","8,433","9,083","9,336","9,796","10,424","11,102","12,268","12,652","13,483","13,431","13,666","14,222","14,940","14,505","14,729","14,818","16,342","17,480","17,219","18,534","19,549","19,207","18,449","18,481","19,799","19,554","19,716","18,323","18,669"
Imports of goods from other countries,"6,199","6,907","7,887","8,504","8,769","9,144","9,767","10,441","11,595","11,979","12,794","12,801","12,951","13,438","14,040","13,471","13,672","13,827","15,274","16,312","16,089","17,366","18,434","17,986","17,198","17,215","18,512","18,180","18,321","17,318","17,596"
Imports of services from other countries,439,484,542,577,574,641,658,676,713,721,750,711,771,830,928,"1,028","1,051",992,"1,071","1,166","1,131","1,167","1,117","1,218","1,242","1,255","1,287","1,357","1,376","1,059","1,117"
Imports from other provinces,"9,844","9,560","9,152","8,959","9,370","9,733","9,811","10,349","11,300","11,499","11,574","12,033","12,860","13,127","13,289","14,408","15,842","15,421","13,184","14,203","14,599","12,519","11,301","11,530","11,660","11,603","12,060","11,637","11,624","11,730","12,050"
Imports of goods from other provinces,"5,060","4,882","4,364","4,501","4,804","5,006","5,123","5,390","5,923","6,016","6,265","6,645","7,197","6,809","6,778","7,278","8,341","7,992","6,340","7,004","7,311","5,750","5,178","4,807","4,987","4,786","4,936","4,479","4,438","4,818","4,848"
Imports of services from other provinces,"4,777","4,668","4,757","4,438","4,548","4,708","4,670","4,939","5,359","5,464","5,293","5,373","5,648","6,321","6,521","7,149","7,511","7,435","6,818","7,193","7,289","6,769","6,123","6,734","6,680","6,817","7,121","7,151","7,179","6,912","7,203"
Statistical discrepancy,59,17,45,80,57,-35,118,-59,44,-23,-100,-126,-50,-22,-26,43,-27,-21,-32,-32,-17,-20,-11,6,-7,30,-3,-19,17,-3,-13
Gross domestic product at market prices,"21,546","21,842","22,523","22,983","23,762","24,010","24,232","25,060","26,629","27,184","27,683","28,999","29,722","30,475","30,716","31,348","31,644","31,887","31,425","32,050","32,136","31,796","31,710","31,747","31,954","32,213","33,014","33,401","33,846","32,937","34,882"
Final domestic demand,"24,008","23,991","24,371","24,311","24,857","25,378","25,428","26,873","28,686","29,169","28,624","29,387","30,205","31,165","32,117","33,904","35,567","36,476","35,912","36,956","37,451","36,587","36,390","36,525","36,920","37,398","38,900","39,944","39,924","39,578","41,432"
