Estimates,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Business gross fixed capital formation,"57,730","57,709","52,760","55,219","55,307","62,328","71,510","74,712","81,057","84,536","85,937","86,228","89,126","94,679","100,046","104,639","106,173","104,769","92,389","98,786","105,163","108,357","103,853","110,562","119,590","119,144","122,025","127,078","129,613","132,391","146,166"
Residential structures,"28,711","30,015","27,393","27,936","24,020","26,320","30,016","29,453","33,023","35,322","38,814","42,642","43,202","45,382","46,133","46,531","47,696","45,433","42,716","46,192","47,855","50,100","49,197","49,525","53,330","57,491","57,946","56,075","56,279","61,296","70,087"
"Non-residential structures, machinery and equipment","24,664","23,880","20,862","21,776","23,520","26,952","31,982","34,137","36,990","37,092","35,494","33,812","35,134","36,964","40,346","44,218","45,025","44,486","36,882","39,215","43,686","45,126","41,623","47,255","52,446","47,257","48,807","53,999","55,971","52,950","56,653"
Non-residential structures,"20,091","17,489","13,985","11,924","11,783","14,087","15,709","16,054","17,879","15,631","15,484","15,882","15,445","15,264","15,584","17,436","18,643","17,647","16,599","16,870","20,701","22,366","21,384","23,789","26,671","24,606","24,696","28,232","28,490","28,709","29,374"
Machinery and equipment,"10,353","10,753","9,887","11,339","12,670","14,284","17,374","18,850","20,212","21,371","20,185","18,644","19,956","21,602","24,310","26,382","26,163","26,503","20,298","22,268","22,978","22,760","20,232","23,465","25,778","22,677","24,118","25,786","27,489","24,280","27,395"
Intellectual property products,"4,766","4,912","5,864","6,751","7,163","7,971","7,758","8,495","8,477","10,168","11,024","10,553","11,358","12,897","13,699","13,579","13,165","14,467","12,817","13,446","13,618","13,131","13,026","13,811","13,851","14,246","15,203","17,465","17,940","18,186","18,851"
Non-profit institutions serving households' gross fixed capital formation,472,461,461,547,562,620,561,406,465,527,601,672,590,397,911,989,706,"1,129",920,942,976,"1,094","1,228","1,206","1,129",867,901,889,792,847,905
General governments gross fixed capital formation,"13,997","13,843","13,271","14,213","15,059","14,302","13,736","13,364","15,274","16,222","17,866","18,568","20,612","21,521","22,722","23,838","24,538","24,166","27,993","33,041","29,200","27,555","26,103","25,183","24,908","25,160","27,144","27,866","27,342","29,998","30,274"
Investment in inventories,"-5,542","-4,753","-2,314",551,"3,935",-577,"3,936","4,636",-562,"3,914","-1,103","1,615","1,281","2,725","2,400","3,459","5,289","5,738",481,766,"5,412","2,685","4,416","8,781","2,716","1,403","7,926","6,929","2,949","-7,749","3,462"
Of which: business investment in inventories,"-5,521","-4,752","-2,324",552,"3,931",-572,"3,933","4,641",-565,"3,904","-1,102","1,628","1,271","2,729","2,399","3,469","5,281","5,686",553,645,"5,446","2,300","4,496","8,822","2,740","1,339","8,059","6,953","2,908","-7,896","3,621"
Non-farm,"-5,372","-4,358","-2,359",341,"3,865",-630,"3,856","4,560",-516,"3,987",-986,"1,442","1,272","2,303","2,326","3,527","5,385","5,678",676,727,"5,527","2,305","4,462","8,734","2,631","1,860","7,749","6,679","2,378","-8,703","3,050"
Farm,-75,-471,99,286,18,90,27,9,-58,-205,-142,230,-33,589,36,-204,-252,-67,-167,-110,-113,-5,40,112,111,-448,314,274,475,643,514
Exports of goods and services,"171,627","177,936","192,407","212,701","229,585","242,199","261,968","280,761","314,033","339,144","328,309","334,213","334,950","351,800","359,754","362,235","363,107","339,853","294,682","318,944","336,011","344,082","355,615","370,839","379,232","384,587","386,367","397,486","411,618","379,837","384,834"
Exports to other countries,"96,395","104,300","118,745","133,571","148,228","158,735","173,414","192,528","217,932","235,720","224,145","226,963","224,748","237,542","243,718","241,862","242,031","221,946","183,145","202,274","216,733","224,425","227,104","238,018","250,977","259,531","256,873","264,869","275,809","248,221","248,312"
Exports of goods to other countries,"81,656","88,202","100,913","114,172","127,166","135,385","147,431","163,916","187,733","202,659","191,285","192,635","190,951","202,056","208,039","205,937","206,453","187,034","147,127","161,903","172,888","179,196","178,384","189,097","198,547","203,061","200,204","200,460","203,982","181,645","182,179"
Exports of services to other countries,"14,699","16,088","17,682","19,026","20,492","23,004","25,744","28,283","29,277","32,153","32,314","33,998","33,438","35,080","35,202","35,482","35,114","34,598","36,003","40,365","43,846","45,229","48,682","48,879","52,434","56,661","56,922","65,097","72,863","67,663","67,173"
Exports to other provinces,"80,129","77,621","76,343","81,440","82,666","84,198","88,901","86,914","93,991","101,057","102,819","106,164","109,650","113,450","115,110","119,778","120,509","117,622","111,702","116,715","119,281","119,657","128,487","132,770","127,688","124,129","128,777","131,850","134,944","131,131","136,208"
Exports of goods to other provinces,"36,426","33,939","31,460","37,156","37,394","36,232","37,075","33,855","35,267","36,994","38,992","41,877","43,821","44,096","42,213","43,599","46,507","43,214","40,070","39,798","40,200","38,551","41,935","38,176","34,530","32,458","31,999","33,354","34,568","33,397","34,473"
Exports of services to other provinces,"42,845","42,889","44,241","43,246","44,265","47,238","51,231","52,804","58,625","64,087","63,639","63,827","65,265","68,954","72,859","76,185","73,738","74,288","71,573","76,902","79,068","81,106","86,554","94,646","93,307","91,871","97,076","98,758","100,606","97,974","102,014"
Less: imports of goods and services,"150,422","158,952","168,484","180,105","191,781","201,523","226,709","237,687","257,701","276,749","263,942","269,906","278,849","298,341","307,848","319,945","332,135","324,255","287,600","321,370","338,179","341,408","347,775","366,921","376,565","378,890","390,728","400,305","404,337","370,777","391,933"
Imports from other countries,"99,232","106,911","114,591","126,996","136,339","142,471","162,378","171,077","186,377","200,960","187,460","191,219","197,874","216,591","227,489","235,465","245,502","242,280","199,239","231,311","248,712","249,738","250,997","267,403","278,607","281,639","291,773","299,441","302,794","275,634","294,055"
Imports of goods from other countries,"78,181","85,399","92,127","105,136","113,562","117,939","135,695","143,160","156,570","169,665","157,460","161,140","165,334","182,649","192,787","199,488","208,983","206,171","162,563","187,660","204,227","204,063","205,118","218,413","226,908","227,007","240,351","245,536","248,244","227,717","242,950"
Imports of services from other countries,"22,821","22,978","23,818","22,329","23,052","25,036","26,943","28,149","29,958","31,347","30,135","30,180","32,705","34,082","34,831","36,112","36,672","36,259","36,669","43,612","44,489","45,675","45,878","48,986","51,698","54,648","51,569","54,000","54,642","48,174","51,383"
Imports from other provinces,"56,350","56,539","57,985","54,854","56,642","60,738","65,193","67,070","71,342","75,466","77,828","80,259","82,490","82,300","80,443","84,633","86,783","82,216","88,716","90,014","89,481","91,670","96,798","99,482","97,695","96,885","98,489","100,359","101,014","94,810","97,409"
Imports of goods from other provinces,"33,802","32,847","33,858","31,858","32,613","36,656","38,556","37,819","40,308","41,529","43,336","45,194","47,396","46,745","43,381","44,717","48,131","43,907","48,096","49,716","47,563","48,965","53,411","52,072","49,959","48,896","49,517","50,192","50,418","48,964","48,852"
Imports of services from other provinces,"22,487","23,476","23,924","22,790","23,802","23,871","26,393","28,868","30,634","33,526","34,035","34,569","34,529","35,050","37,006","40,067","38,409","38,353","40,564","40,255","41,923","42,705","43,372","47,535","47,901","48,145","49,133","50,339","50,773","45,980","48,797"
Statistical discrepancy,"-1,616","1,707","1,922","1,256",-607,-413,"1,068",-165,"1,160","1,325",579,971,558,245,"1,136",3,-425,101,-431,-437,-268,-235,-212,-483,-433,351,-311,-27,-116,-262,-246
Gross domestic product at market prices,"400,193","405,564","411,365","433,727","447,735","455,035","477,053","498,740","533,253","567,019","577,397","597,107","603,720","620,670","640,614","652,625","657,733","657,720","637,298","656,103","671,942","680,792","690,275","707,589","724,946","740,164","761,025","786,965","803,505","766,072","805,813"
Final domestic demand,"389,473","393,148","390,383","400,246","406,138","415,718","437,792","450,964","475,439","497,109","510,858","527,143","543,981","563,014","584,090","606,108","621,176","635,550","629,132","657,529","668,085","675,667","677,289","694,621","718,984","731,442","757,023","782,200","792,394","762,871","807,865"
