Estimates,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Investment in inventories,185,-950,859,102,721,860,553,444,743,348,-806,-351,"1,765","1,354","2,228",670,655,"1,699",-414,"-1,242",16,-140,"2,565",-296,-269,"1,118",314,543,"1,328","-1,196","-2,398"
Of which: business investment in inventories,187,-950,858,102,721,861,552,445,743,347,-806,-350,"1,762","1,355","2,228",672,653,"1,690",-413,"-1,245",24,-159,"2,565",-293,-270,"1,116",324,531,"1,327","-1,199","-2,413"
Non-farm,-235,-233,61,39,356,3,922,324,157,-31,172,310,538,452,760,"1,108","1,151",123,-932,-88,339,-188,65,95,-62,581,104,429,789,274,"2,139"
Farm,772,-957,"1,109",76,380,"1,122",-815,36,792,573,"-1,449","-1,032","1,571","1,182","1,946","-1,297",-968,"1,803",796,"-1,369",-380,29,"2,451",-395,-205,534,216,115,546,"-1,366","-3,993"
Exports of goods and services,"23,894","26,347","26,553","30,554","30,311","32,030","35,077","37,992","38,320","40,738","41,468","40,086","39,723","43,628","43,492","44,117","46,484","47,778","45,882","49,111","52,398","53,032","51,736","55,123","56,006","53,809","56,392","57,820","57,366","56,648","55,762"
Exports to other countries,"14,964","16,438","17,305","20,902","20,553","22,218","25,680","26,135","25,699","27,904","27,305","26,328","25,413","27,456","27,832","27,340","29,218","29,961","28,501","31,265","33,931","35,412","33,662","35,888","38,076","36,777","39,105","39,990","39,749","40,515","37,874"
Exports of goods to other countries,"14,579","15,922","16,660","20,148","19,847","21,409","24,780","25,042","24,604","26,920","26,439","25,355","24,493","26,587","26,868","26,348","28,385","29,007","27,527","30,187","32,871","34,306","32,515","34,611","36,701","35,276","37,578","38,363","37,888","38,854","36,087"
Exports of services to other countries,422,523,621,733,694,789,883,"1,033","1,031",959,860,939,891,859,944,969,843,951,970,"1,073","1,060","1,106","1,145","1,273","1,367","1,452","1,492","1,576","1,761","1,620","1,701"
Exports to other provinces,"8,912","9,871","9,410","10,104","10,166","10,336","10,241","12,404","13,032","13,404","14,483","14,056","14,456","16,230","15,816","16,756","17,323","17,851","17,426","17,894","18,505","17,620","18,058","19,217","18,029","17,164","17,540","18,070","17,867","16,624","18,041"
Exports of goods to other provinces,"5,369","6,123","6,102","7,209","6,957","7,462","7,822","9,606","9,821","9,987","11,274","10,798","11,069","12,576","12,035","12,657","12,796","12,967","12,376","12,598","12,486","11,594","11,415","12,146","11,054","10,320","10,667","11,189","11,042","10,301","11,199"
Exports of services to other provinces,"3,261","3,479","3,120","2,843","3,096","2,829","2,451","2,866","3,216","3,403","3,266","3,289","3,415","3,704","3,811","4,125","4,541","4,909","5,076","5,311","6,016","6,026","6,642","7,070","6,975","6,836","6,871","6,882","6,826","6,326","6,847"
Less: imports of goods and services,"14,804","15,225","15,556","16,898","17,734","19,235","21,943","21,412","22,331","23,173","23,455","23,613","24,773","25,602","27,010","29,269","32,111","35,304","35,859","39,062","42,535","44,123","44,406","45,200","43,432","40,742","41,973","42,554","41,976","38,072","40,191"
Imports from other countries,"3,968","4,270","4,660","5,285","5,770","6,027","7,580","7,499","7,908","8,075","7,780","7,989","8,468","9,068","10,215","11,139","12,696","15,244","14,076","15,863","17,974","18,481","19,208","19,349","17,900","15,917","16,794","17,195","16,316","14,696","16,089"
Imports of goods from other countries,"3,313","3,567","3,889","4,447","4,893","5,106","6,443","6,373","6,781","6,946","6,709","6,927","7,269","7,866","8,910","9,697","10,901","13,070","12,076","13,714","15,816","16,255","16,692","16,666","15,364","13,458","14,418","14,696","13,837","13,005","14,007"
Imports of services from other countries,679,729,800,859,889,935,"1,148","1,137","1,127","1,127","1,065","1,052","1,196","1,193","1,293","1,429","1,782","2,159","1,987","2,137","2,157","2,226","2,513","2,678","2,533","2,465","2,379","2,501","2,479","1,716","2,099"
Imports from other provinces,"11,462","11,532","11,360","12,010","12,264","13,647","14,541","14,038","14,511","15,245","15,985","15,869","16,530","16,687","16,839","18,169","19,421","20,076","21,739","23,162","24,569","25,642","25,203","25,856","25,572","24,993","25,278","25,429","25,853","23,578","24,192"
Imports of goods from other provinces,"5,194","5,031","4,786","5,393","5,440","6,431","6,264","5,723","5,705","5,906","6,726","6,465","7,021","6,766","6,359","6,944","8,136","7,970","9,431","10,271","11,036","11,737","10,727","10,038","11,158","11,098","10,751","10,754","11,113","9,914","10,432"
Imports of services from other provinces,"6,359","6,590","6,667","6,699","6,913","7,284","8,400","8,458","8,969","9,520","9,342","9,525","9,583","10,067","10,752","11,494","11,389","12,315","12,350","12,912","13,539","13,905","14,479","15,856","14,422","13,916","14,517","14,663","14,731","13,643","13,746"
Statistical discrepancy,339,18,-143,449,287,287,155,12,-104,-63,92,92,130,228,-47,50,9,-29,10,-92,-78,-85,50,-50,-84,141,57,-15,-28,14,-36
Gross domestic product at market prices,"50,010","47,799","50,849","52,840","53,426","55,034","57,399","59,879","59,943","61,503","60,993","60,789","63,564","66,605","68,360","67,347","69,855","73,518","69,597","72,851","76,697","78,007","83,111","84,786","84,072","84,006","86,180","87,728","87,379","83,208","82,494"
Final domestic demand,"36,407","35,263","35,759","36,570","37,503","39,092","42,470","41,772","42,421","43,190","43,677","44,094","45,425","46,026","48,443","50,934","53,945","58,426","59,204","63,290","66,192","69,322","72,145","73,923","70,627","68,174","70,083","70,642","69,381","64,757","68,231"
