"Gross domestic product, expenditure-based, provincial and territorial, annual (x 1,000,000)"
"Frequency: Annual"
"Table: 36-10-0222-01 (formerly CANSIM 384-0038)"
"Release date: 2022-11-08"
"Geography: Canada, Province or territory"
""
""

"Geography","Northwest Territories 1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Prices","Chained (2012) dollars",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Estimates","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"Imports of services from other provinces","..","..","..","..","..","..","..","..","703","940","1,062","993","1,044","1,182","1,264","1,409","1,392","1,356","1,377","1,391","1,368","1,393","1,442","1,674","1,761","1,646","1,574","1,573","1,499","1,267","1,442"
"Statistical discrepancy","..","..","..","..","..","..","..","..","-32","-11","-28","-3","-5","-7","-14","-13","-6","1","0","-10","-10","-2","-1","6","5","1","-1","3","-2","2","3"
"Gross domestic product at market prices","..","..","..","..","..","..","..","..","3,369","3,594","4,350","4,654","5,265","5,401","5,346","5,352","5,841","5,293","4,722","4,843","4,408","4,394","4,521","4,735","4,779","4,712","4,873","4,941","4,750","4,265","4,475"
"Final domestic demand","..","..","..","..","..","..","..","..","3,493","3,908","4,757","4,676","4,160","4,725","5,011","5,335","5,451","5,024","4,647","4,734","4,571","4,763","4,910","5,154","5,377","5,240","4,881","4,928","4,826","4,694","4,934"

Symbol legend:
.., not available for a specific reference period




Footnotes:
1,"Prior to 1999, see Northwest Territories including Nunavut."



"How to cite: Statistics Canada. Table 36-10-0222-01  Gross domestic product, expenditure-based, provincial and territorial, annual (x 1,000,000)"
https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3610022201
