"Canadian government finance statistics for the federal government (x 1,000,000) c 1 2 3"
"Frequency: Annual"
"Table: 10-10-0016-01 (formerly CANSIM 385-0033)"
"Release date: 2022-11-22"
"Geography: Canada"
""
""

"Display value 4","Stocks",,,,,,,,,,,,,,
"Geography","Canada",,,,,,,,,,,,,,
"Public sector components","Federal  government",,,,,,,,,,,,,,
"Statement of operations and balance sheet","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"Sales of goods and services","..","6,475","6,962","7,344","8,022","8,014","8,671","8,761","8,677","8,641","9,512","9,342","10,024","8,040","9,837"
"Fines, penalties and forfeits","..","783","118","403","124","109","162","144","108","126","161","149","305","196","325"
"Voluntary transfers other than grants","..","80","103","114","116","91","64","50","1,257","62","60","56","49","69","54"
"Miscellaneous revenue 8","..","29","19","30","48","54","25","184","0","4","224","365","502","564","750"
"Expense","..","246,301","267,834","267,801","270,750","270,655","273,825","275,999","287,047","302,869","319,248","337,880","361,014","605,521","473,872"
"Compensation of employees 9","..","33,703","35,611","36,031","38,376","39,816","38,495","37,831","38,141","37,232","42,225","44,835","44,833","51,305","58,139"
"Use of goods and services 9","..","20,606","21,654","20,316","21,148","19,931","19,942","19,882","20,945","23,166","24,403","25,280","25,825","26,897","29,445"
"Interest expense","..","29,319","27,262","28,130","28,143","26,773","25,760","24,386","23,575","22,097","21,920","23,700","24,570","21,374","23,989"
"Subsidies","..","3,410","3,977","4,067","3,950","2,977","2,849","2,707","2,720","2,791","2,865","3,218","8,629","86,547","29,488"
"Grants, expense","..","75,988","87,558","86,922","86,135","85,992","88,481","89,380","91,782","98,694","103,695","112,192","116,834","151,856","134,930"
"Social benefits","..","66,601","73,197","72,923","73,872","76,021","78,186","82,394","89,341","97,471","101,564","103,747","108,363","222,480","158,167"
"Other expense","..","9,057","10,433","11,139","10,518","10,270","11,049","10,335","11,195","11,821","12,969","14,555","21,003","33,383","27,438"
"Net worth 3 10 11","..","-431,280","-464,744","-505,338","-553,558","-570,290","-556,782","-585,498","-579,067","-549,011","-543,042","-562,190","-609,905","-815,907","-780,691"
"Nonfinancial assets 12","..","70,752","69,748","65,158","71,568","64,744","64,096","64,049","59,607","73,543","84,740","79,941","78,938","98,677","129,795"
"Net financial worth 13","-495,290","-502,032","-534,492","-570,496","-625,126","-635,034","-620,878","-649,547","-638,674","-622,554","-627,782","-642,131","-688,843","-914,584","-910,486"
"Financial assets","187,579","309,558","322,855","328,579","337,274","363,935","343,250","364,321","391,473","410,560","429,674","438,080","462,384","567,371","659,097"
"Currency and deposits, assets","19,192","52,171","33,441","19,795","22,236","32,547","36,982","39,355","43,266","41,139","39,752","42,908","43,711","71,243","108,039"
"Debt securities, assets","7,314","6,961","6,734","7,522","7,065","7,283","6,605","6,887","7,468","6,906","7,381","6,665","7,414","8,761","9,433"
"Loans, assets","65,787","147,850","173,239","174,788","180,265","182,495","157,947","164,427","177,158","186,082","188,710","200,187","219,627","255,862","303,394"
"Equity and investment fund shares, assets","19,073","21,058","27,191","34,178","27,636","37,170","41,350","42,884","41,519","47,514","45,816","44,447","49,616","61,449","70,356"
"Insurance and pension, assets","1","2","15","23","34","42","44","237","195","312","357","804","2,832","4,469","4,658"
"Other accounts receivable","76,212","81,516","82,235","92,274","100,038","104,399","100,322","110,531","121,867","128,607","147,659","143,068","139,184","165,588","163,217"
"Liabilities","682,869","811,590","857,346","899,075","962,400","998,969","964,127","1,013,868","1,030,147","1,033,114","1,057,457","1,080,211","1,151,227","1,481,955","1,569,583"
"Currency and deposits, liabilities","4,926","5,098","5,203","5,332","5,438","5,558","5,643","5,725","5,868","6,006","6,162","6,293","6,408","6,509","6,657"
"Debt securities, liabilities","428,300","551,939","590,264","628,657","686,221","726,073","693,786","735,826","749,264","756,867","746,028","773,138","842,900","1,165,113","1,226,988"
"Loans, liabilities","10,312","9,879","9,642","9,695","9,398","9,348","9,571","8,018","8,226","7,677","8,363","8,581","9,286","10,600","11,354"
"Insurance, pension and standardized guarantee schemes, liabilities","141,149","143,915","147,221","150,652","153,384","155,917","157,379","157,294","157,087","157,104","176,840","175,072","175,129","175,706","180,523"
"Other accounts payable","96,867","99,289","95,781","95,533","98,705","92,958","87,515","96,543","98,746","94,654","108,849","106,019","106,000","113,363","115,453"
"Monetary gold and special drawing rights (SDR), liabilities","1,316","1,470","9,235","9,205","9,253","9,114","10,232","10,463","10,956","10,805","11,215","11,108","11,504","10,664","28,609"

Symbol legend:
.., not available for a specific reference period
p, preliminary
r, revised


"Table Corrections:"
Date,Note
"2016-04-14","On April 14th, 2016, data for consumption of fixed capital (CGFS 23) have been corrected for the reference period from 2008 to 2014."
"2016-04-14","On April 14th, 2016, data for consumption of fixed capital (CGFS 23) have been corrected for the reference period from 2008 to 2014."



Footnotes:
1,"Data may not add to the total due to rounding."
2,"End of fiscal year closest to December 31st."
3,"For 2007 only stocks for balance sheet statement are available, they represent the opening stocks for 2008, the start of the observed period."
4,"Balance sheet data can be displayed as flows or stocks. Flows are monetary expressions of economic actions that occur within the accounting period. Stocks refer to holdings of assets and liabilities at a specific time - the end of the accounting period."
5,"Memorandum items provide supplemental information or alternative presentation of related items, but the memorandum items amounts are not included in Canadian Government Finance Statistics (CGFS) structure and totals."
6,"The gross operating balance equals revenue minus expense other than consumption of fixed capital."
7,"The net operating balance is a summary measure of the ongoing sustainability of the government operations. Net operating balance equals total revenues less total expenses. The net operating balance will become available with the release of consumption of fixed capital, an expense component."
8,"Miscellaneous revenue includes auto insurance premiums, drug plan premiums and revenue not elsewhere classified. It may also include the consolidation statistical discrepancy. This discrepancy reflects differences between paired transactions (e.g. grant revenue and grant expense) and must be recorded in the statement of operation in order to preserve the operating balances (gross or net). While in theory, the paired transactions to be consolidated should be of the same value, in practice, they are not always aligned as a result of multiple cause (availability of economic and counterparty classification details, time of recording, different fiscal year end, deferrals, etc.). When paired transactions are eliminated, there must be no impact on the operating balance, therefore a consolidation statistical discrepancy is recorded in revenue or expense, depending on the situation. Improving the pairing of transactions to be consolidated is part of the integration work for the next year and will reduce the recorded consolidation statistical discrepancy."
9,"Canadian Government Finance Statistics (CGFS) estimates for compensation of employees and use of goods and services are adjusted to account for the capitalisation of research and development expenses using data from the Canadian System of Macroeconomic Accounts (CSMA). This memorandum item provides the amounts capitalised for research and development to facilitate comparison with the Public Accounts."
10,"The balance sheet records the stocks of assets, liabilities, and the net worth for each accounting period. Net worth is defined as the total assets less total liabilities and is an important measure for assessing the sustainability of fiscal activities."
11,"The balance sheet components include domestic and foreign counterparts."
12,"Within the Canadian Government Finance Statistics system (CGFS), the value of nonfinancial assets and related consumption of fixed capital is estimated using the Canadian System of Macroeconomic Accounts (CSMA) perpetual inventory method (PIM). The results of the PIM model can differ substantially from the values found in the public accounting sources of a specific level of government. In order to better understand these differences, the value of nonfinancial assets and related consumption of fixed capital found in the public accounting sources are presented in the memorandum items "consumption of fixed capital according to public sector accounts" and "Nonfinancial assets according to public sector accounts". For more information on the PIM model please consult additional information on the survey or statistical program in the CANSIM related information tab."
13,"The net financial worth position equals total stock of financial assets minus liabilities."



"How to cite: Statistics Canada. Table 10-10-0016-01  Canadian government finance statistics for the federal government (x 1,000,000)"
https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1010001601
