"Gross domestic product, expenditure-based, provincial and territorial, annual (x 1,000,000)"
"Frequency: Annual"
"Table: 36-10-0222-01 (formerly CANSIM 384-0038)"
"Release date: 2022-11-08"
"Geography: Canada, Province or territory"
""
""

"Geography","Nova Scotia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Prices","Chained (2012) dollars",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Estimates","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"Imports from other provinces","9,423","9,157","9,189","9,333","9,274","9,257","9,494","9,693","10,285","10,484","10,514","11,108","11,600","12,073","11,949","11,971","12,738","12,316","12,367","13,425","13,671","13,077","13,220","12,746","12,613","13,149","13,227","13,490","14,194","13,415","14,092"
"Imports of goods from other provinces","4,986","4,614","4,486","4,904","4,777","4,728","4,824","4,726","4,863","5,117","5,199","5,572","5,909","6,059","5,619","5,565","6,215","5,762","5,765","6,151","6,209","5,913","5,873","5,050","4,985","5,095","5,089","5,175","5,611","5,206","5,687"
"Imports of services from other provinces","4,449","4,536","4,694","4,419","4,490","4,525","4,666","4,968","5,425","5,365","5,308","5,526","5,676","6,004","6,339","6,418","6,525","6,558","6,605","7,276","7,461","7,164","7,348","7,717","7,649","8,075","8,160","8,337","8,599","8,225","8,413"
"Statistical discrepancy","103","-83","-150","192","123","129","-178","-46","-53","36","-20","96","72","91","73","-58","-19","-6","32","-25","-17","-33","-7","-7","-8","23","2","9","7","12","-9"
"Gross domestic product at market prices","26,591","26,927","27,073","27,040","27,365","27,388","28,496","29,558","31,116","32,041","33,008","34,432","34,803","35,071","35,469","35,741","36,199","36,915","37,047","38,052","38,303","37,933","37,806","38,173","38,429","39,038","39,757","40,502","41,889","40,433","42,927"
"Final domestic demand","32,828","32,381","32,888","33,074","33,021","33,118","34,649","35,950","38,132","38,034","38,540","39,912","40,603","41,163","42,101","43,022","44,433","45,017","46,117","48,137","48,669","48,260","48,723","48,691","49,005","49,944","50,927","52,098","53,343","51,997","55,195"




"How to cite: Statistics Canada. Table 36-10-0222-01  Gross domestic product, expenditure-based, provincial and territorial, annual (x 1,000,000)"
https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3610022201
